"admin_area_1","admin_area_2","admin_area_3"
NA,"be Benue State","be Gwer West Local Government Area"
NA,"be Benue State","be Katsina-Ala Local Government Area"
NA,"be Benue State","be Konshisha Local Government Area"
NA,"be Benue State","be Kwande Local Government Area"
NA,"be Benue State","be Logo Local Government Area"
NA,"be Benue State","be Makurdi Local Government Area"
NA,"be Benue State","be Obi Local Government Area"
NA,"be Benue State","be Ogbadibo Local Government Area"
NA,"be Benue State","be Ohimini Local Government Area"
NA,"be Benue State","be Oju Local Government Area"
NA,"be Benue State","be Okpokwu Local Government Area"
NA,"be Benue State","be Otukpo Local Government Area"
NA,"be Benue State","be Tarka Local Government Area"
NA,"be Benue State","be Ukum Local Government Area"
NA,"be Benue State","be Ushongo Local Government Area"
NA,"be Benue State","be Vandeikya Local Government Area"
NA,"bo Borno State","bo Abadam Local Government Area"
NA,"bo Borno State","bo Askira/Uba Local Government Area"
NA,"bo Borno State","bo Bama Local Government Area"
NA,"bo Borno State","bo Bayo Local Government Area"
NA,"bo Borno State","bo Biu Local Government Area"
NA,"bo Borno State","bo Chibok Local Government Area"
NA,"bo Borno State","bo Damboa Local Government Area"
NA,"bo Borno State","bo Dikwa Local Government Area"
NA,"bo Borno State","bo Gubio Local Government Area"
NA,"bo Borno State","bo Guzamala Local Government Area"
NA,"bo Borno State","bo Gwoza Local Government Area"
NA,"bo Borno State","bo Hawul Local Government Area"
NA,"bo Borno State","bo Jere Local Government Area"
NA,"bo Borno State","bo Kaga Local Government Area"
NA,"bo Borno State","bo Kala/Balge Local Government Area"
NA,"bo Borno State","bo Konduga Local Government Area"
NA,"bo Borno State","bo Kukawa Local Government Area"
NA,"bo Borno State","bo Kwaya Kusar Local Government Area"
NA,"bo Borno State","bo Mafa Local Government Area"
NA,"bo Borno State","bo Magumeri Local Government Area"
NA,"bo Borno State","bo Maiduguri Local Government Area"
NA,"bo Borno State","bo Marte Local Government Area"
NA,"bo Borno State","bo Mobbar Local Government Area"
NA,"bo Borno State","bo Monguno Local Government Area"
NA,"bo Borno State","bo Ngala Local Government Area"
NA,"bo Borno State","bo Nganzai Local Government Area"
NA,"bo Borno State","bo Shani Local Government Area"
NA,"by Bayelsa State","by Brass Local Government Area"
NA,"by Bayelsa State","by Ekeremor Local Government Area"
NA,"by Bayelsa State","by Kolokuma/Opokuma Local Government Area"
NA,"by Bayelsa State","by Nembe Local Government Area"
NA,"by Bayelsa State","by Ogbia Local Government Area"
NA,"by Bayelsa State","by Sagbama Local Government Area"
NA,"by Bayelsa State","by Southern Ijaw Local Government Area"
NA,"cr Cross River State","cr Abi Local Government Area"
NA,"cr Cross River State","cr Akamkpa Local Government Area"
NA,"cr Cross River State","cr Akpabuyo Local Government Area"
NA,"cr Cross River State","cr Bakassi Local Government Area"
NA,"cr Cross River State","cr Bekwarra Local Government Area"
NA,"cr Cross River State","cr Biase Local Government Area"
NA,"cr Cross River State","cr Calabar Municipal Local Government Area"
NA,"cr Cross River State","cr Calabar South Local Government Area"
NA,"cr Cross River State","cr Etung Local Government Area"
NA,"cr Cross River State","cr Ikom Local Government Area"
NA,"cr Cross River State","cr Obanliku Local Government Area"
NA,"cr Cross River State","cr Obubra Local Government Area"
NA,"cr Cross River State","cr Obudu Local Government Area"
NA,"cr Cross River State","cr Odukpani Local Government Area"
NA,"cr Cross River State","cr Ogoja Local Government Area"
NA,"cr Cross River State","cr Yakurr Local Government Area"
NA,"cr Cross River State","cr Yala Local Government Area"
NA,"de Delta State","de Aniocha North Local Government Area"
NA,"de Delta State","de Aniocha South Local Government Area"
NA,"de Delta State","de Bomadi Local Government Area"
NA,"de Delta State","de Burutu Local Government Area"
NA,"de Delta State","de Ethiope East Local Government Area"
NA,"de Delta State","de Ika South Local Government Area"
NA,"de Delta State","de Isoko North Local Government Area"
NA,"de Delta State","de Isoko South Local Government Area"
NA,"de Delta State","de Ndokwa East Local Government Area"
NA,"de Delta State","de Ndokwa West Local Government Area"
NA,"de Delta State","de Oshimili North Local Government Area"
NA,"de Delta State","de Oshimili South Local Government Area"
NA,"de Delta State","de Udu Local Government Area"
NA,"de Delta State","de Ughelli North Local Government Area"
NA,"de Delta State","de Ughelli South Local Government Area"
NA,"de Delta State","de Ukwuani Local Government Area"
NA,"de Delta State","de Uvwie Local Government Area"
NA,"de Delta State","de Warri North Local Government Area"
NA,"de Delta State","de Warri South Local Government Area"
NA,"de Delta State","de Warri South West Local Government Area"
NA,"eb Ebonyi State","eb Afikpo North Local Government Area"
NA,"eb Ebonyi State","eb Afikpo South Local Government Area"
NA,"eb Ebonyi State","eb Ikwo Local Government Area"
NA,"eb Ebonyi State","eb Ivo Local Government Area"
NA,"eb Ebonyi State","eb Izzi Local Government Area"
NA,"eb Ebonyi State","eb Ohaozara Local Government Area"
NA,"eb Ebonyi State","eb Ohaukwu Local Government Area"
