facility_id,admin_area_1,admin_area_2,admin_area_3,admin_area_4
esaIYgP3vSp,MOH - Uganda,South Buganda,Kyotera District,Kyotera DLG
EsNOJ2SO3pj,MOH - Uganda,Acholi,Lamwo District,Lamwo DLG
esrQ4hNEvPJ,MOH - Uganda,Ankole,Mbarara City,Mbarara City Council
EsXcenXz99W,MOH - Uganda,Acholi,Omoro District,Omoro DLG
esxeUWbV3si,MOH - Uganda,Bunyoro,Masindi District,Masindi Municipality
EsyH7yKQHiP,MOH - Uganda,Acholi,Pader District,Pader DLG
eSYuwIoNDh3,MOH - Uganda,Acholi,Pader District,Pader DLG
eT9EitJKnl9,MOH - Uganda,Busoga,Kamuli District,Kamuli DLG
etFZ5ij7IBi,MOH - Uganda,Kampala,Kampala District,Kampala City Council
etgRSvMWbqH,MOH - Uganda,South Buganda,Mpigi District,Mpigi DLG
EtojCiFp2el,MOH - Uganda,Kampala,Kampala District,Kampala City Council
etPrOnArvd1,MOH - Uganda,Lango,Alebtong District,Alebtong DLG
etUWDKFTBfq,MOH - Uganda,Karamoja,Amudat District,Amudat DLG
EtYONMFNFfq,MOH - Uganda,Ankole,Mbarara City,Mbarara City Council
EU0Y5UzmqnB,MOH - Uganda,Busoga,Luuka District,Luuka DLG
Eu7L6ZmhA4R,MOH - Uganda,North Buganda,Buikwe District,Buikwe DLG
EU9ZacQmfpW,MOH - Uganda,Kigezi,Kanungu District,Kanungu DLG
eUBycmFo7x2,MOH - Uganda,South Buganda,Wakiso District,Wakiso DLG
EUE5ld3anIE,MOH - Uganda,Busoga,Luuka District,Luuka DLG
euEg1r9HcSg,MOH - Uganda,South Buganda,Wakiso District,Wakiso DLG
EuEGAb1hzb1,MOH - Uganda,North Buganda,Kayunga District,Kayunga DLG
euiuFSL4Sdb,MOH - Uganda,Teso,Kumi District,Kumi DLG
Euk8qqVajW6,MOH - Uganda,Kampala,Kampala District,Kampala City Council
EuNXSEMyAGt,MOH - Uganda,North Buganda,Mukono District,Mukono DLG
EUOiaQqxdtP,MOH - Uganda,Acholi,Pader District,Pader DLG
EuOjc4l3RJ4,MOH - Uganda,Kampala,Kampala District,Kampala City Council
EutuLBY58L0,MOH - Uganda,Acholi,Gulu District,Gulu DLG
EUu7beeRyS5,MOH - Uganda,Karamoja,Moroto District,Moroto DLG
EUZupmOWTtg,MOH - Uganda,Busoga,Jinja District,Jinja DLG
ev1JnEmvQe0,MOH - Uganda,North Buganda,Kiboga District,Kiboga DLG
EV2MoBNsOm6,MOH - Uganda,Tooro,Bundibugyo District,Bundibugyo DLG
EV3FAEfGKKn,MOH - Uganda,Bunyoro,Kakumiro District,Kakumiro DLG
eV4fyDZzdi3,MOH - Uganda,Bukedi,Busia District,Busia DLG
eVdwXgr2PUx,MOH - Uganda,Kampala,Kampala District,Kampala City Council
eVHfL3dqKR5,MOH - Uganda,Acholi,Agago District,Agago DLG
EviXTXPkFsP,MOH - Uganda,Kampala,Kampala District,Kampala City Council
eVqlzAGda5U,MOH - Uganda,Karamoja,Abim District,Abim DLG
eW5633TN0Vm,MOH - Uganda,Tooro,Kyegegwa District,Kyegegwa DLG
EWb0gMfNpiq,MOH - Uganda,Teso,Kapelebyong District,Kapelebyong DLG
ewK7AgzuVRn,MOH - Uganda,Kampala,Kampala District,Kampala City Council
ewMHVf7tjwq,MOH - Uganda,North Buganda,Buvuma District,Buvuma DLG
EWUAJEOybei,MOH - Uganda,Tooro,Kasese District,Kasese DLG
ewuJHi84Wld,MOH - Uganda,Kampala,Kampala District,Kampala City Council
Ewwd9R5nnVh,MOH - Uganda,West Nile,Pakwach District,Pakwach DLG
eXcMCocey03,MOH - Uganda,North Buganda,Kyankwanzi District,Kyankwanzi DLG
ExhseILVUNQ,MOH - Uganda,Bunyoro,Kibaale District,Kibaale DLG
ExtBb1CkrSe,MOH - Uganda,North Buganda,Mubende District,Mubende DLG
EXY7qIdf2Bq,MOH - Uganda,South Buganda,Wakiso District,Makindye Ssabagabo Municipality
Ey2WIS39CZV,MOH - Uganda,Kampala,Kampala District,Kampala City Council
EYaoFJ7u4nr,MOH - Uganda,Karamoja,Nabilatuk District,Nabilatuk DLG
EYFKJlJa6Mp,MOH - Uganda,West Nile,Maracha District,Maracha DLG
EYfvbgpSbDF,MOH - Uganda,Busoga,Jinja City,Jinja City Council
eYfYllZTnY0,MOH - Uganda,Kampala,Kampala District,Kampala City Council
eYgYgkpjCxx,MOH - Uganda,Teso,Ngora District,Ngora DLG
eYiJZrdc3Eh,MOH - Uganda,Ankole,Bushenyi District,Bushenyi-Ishaka Municipality
EyJbnAQLHR2,MOH - Uganda,Kampala,Kampala District,Kampala City Council
EYklRtOZrwz,MOH - Uganda,Lango,Oyam District,Oyam DLG
Eymu0FjCd83,MOH - Uganda,Kampala,Kampala District,Kampala City Council
EYPlRLvDGxp,MOH - Uganda,Busoga,Kaliro District,Kaliro DLG
EYs87cYWBsP,MOH - Uganda,South Buganda,Wakiso District,Nansana Municipality
EYV2hK2Y2Du,MOH - Uganda,South Buganda,Wakiso District,Wakiso DLG
EyZf2HkJvV3,MOH - Uganda,Kampala,Kampala District,Kampala City Council
EZA6XG2Eqra,MOH - Uganda,West Nile,Moyo District,Moyo DLG
eZC9Ddr4KIy,MOH - Uganda,West Nile,Zombo District,Zombo DLG
ezIC6Lc19KH,MOH - Uganda,Kampala,Kampala District,Kampala City Council
ezl9nwYbSdn,MOH - Uganda,Bukedi,Tororo District,Tororo Municipality
eZPhMsZGZza,MOH - Uganda,South Buganda,Kyotera District,Kyotera DLG
EZqXqnUG0ep,MOH - Uganda,Ankole,Rubirizi District,Rubirizi DLG
ezwvziar0eJ,MOH - Uganda,Lango,Lira City,Lira City Council
ezZNOr0FvGV,MOH - Uganda,South Buganda,Wakiso District,Wakiso DLG
F0ZgUpuTSYf,MOH - Uganda,Kampala,Kampala District,Kampala City Council
f1aeZ7biIGk,MOH - Uganda,Lango,Oyam District,Oyam DLG
F1E6OZRWxDc,MOH - Uganda,South Buganda,Wakiso District,Wakiso DLG
F1iUSIOHY4o,MOH - Uganda,South Buganda,Kyotera District,Kyotera DLG
F1z2KNSzz86,MOH - Uganda,Bukedi,Tororo District,Tororo DLG
F2C1BkGVMSW,MOH - Uganda,Acholi,Gulu City,Gulu City Council
F2hXRn6Ctfr,MOH - Uganda,Kampala,Kampala District,Kampala City Council
F2HYRVjk9gG,MOH - Uganda,Kampala,Kampala District,Kampala City Council
F2JcZqU3iQD,MOH - Uganda,Tooro,Kyenjojo District,Kyenjojo DLG
f2Whd5ubYn8,MOH - Uganda,West Nile,Madi-Okollo District,Madi-Okollo DLG
f33lKK2tJNV,MOH - Uganda,Acholi,Kitgum District,Kitgum DLG
f3FZcY7WSCd,MOH - Uganda,South Buganda,Lyantonde District,Lyantonde DLG
F3jJiMHeXDF,MOH - Uganda,North Buganda,Mukono District,Mukono Municipality
F3r8Fr87Bnx,MOH - Uganda,South Buganda,Butambala District,Butambala DLG
F3VE0gdRXu1,MOH - Uganda,West Nile,Nebbi District,Nebbi DLG
f46tJWJBKJa,MOH - Uganda,Lango,Kole District,Kole DLG
f4dGzsIwBms,MOH - Uganda,North Buganda,Nakasongola District,Nakasongola DLG
F4phb7m6hiz,MOH - Uganda,West Nile,Adjumani District,Adjumani DLG
f4y1rknk8ER,MOH - Uganda,Bukedi,Butebo District,Butebo DLG
f4yLtyMDUxW,MOH - Uganda,West Nile,Arua City,Arua City Council
F50gOkQjBg9,MOH - Uganda,Bukedi,Tororo District,Tororo DLG
f59kLIQAmzL,MOH - Uganda,Kampala,Kampala District,Kampala City Council
f59MlXA9vRC,MOH - Uganda,South Buganda,Masaka City,Masaka City Council
F5Ep4lLv2Ni,MOH - Uganda,Kampala,Kampala District,Kampala City Council
f5IgUhday3g,MOH - Uganda,Teso,Kumi District,Kumi Municipality
F5jzg00snaj,MOH - Uganda,Bugisu,Mbale City,Mbale City Council
f5lLaEQlPzM,MOH - Uganda,North Buganda,Mityana District,Mityana Municipality
F5mwIAT6X4u,MOH - Uganda,Kampala,Kampala District,Kampala City Council
f5zHSADblXs,MOH - Uganda,Ankole,Bushenyi District,Bushenyi-Ishaka Municipality
F5zMfqnrCip,MOH - Uganda,Kampala,Kampala District,Kampala City Council
f64lQG4l274,MOH - Uganda,Kampala,Kampala District,Kampala City Council
f66rvFGJMOc,MOH - Uganda,West Nile,Terego District,Terego DLG
F6LTGXb5o1a,MOH - Uganda,North Buganda,Luwero District,Luwero DLG
f6u5kqKoTGK,MOH - Uganda,Kampala,Kampala District,Kampala City Council
F6wXWJHDAlo,MOH - Uganda,Acholi,Gulu District,Gulu DLG
F72SmQgfKBf,MOH - Uganda,Teso,Kumi District,Kumi Municipality
F77VRAFi2dn,MOH - Uganda,North Buganda,Nakaseke District,Nakaseke DLG
f7IF0JjteE7,MOH - Uganda,Kampala,Kampala District,Kampala City Council
F7LKQNLd8M6,MOH - Uganda,West Nile,Terego District,Terego DLG
f7n93to8Ktw,MOH - Uganda,Ankole,Ntungamo District,Ntungamo DLG
f7ncbkqrrj1,MOH - Uganda,Kampala,Kampala District,Kampala City Council
f7pQNP83wd9,MOH - Uganda,Acholi,Kitgum District,Kitgum Municipality
f7QBXazOuB2,MOH - Uganda,West Nile,Yumbe District,Yumbe DLG
F7QCyDJNbDG,MOH - Uganda,North Buganda,Mukono District,Mukono DLG
F7ZmbCrZDOC,MOH - Uganda,Kampala,Kampala District,Kampala City Council
F81A8Ip78Ex,MOH - Uganda,North Buganda,Mukono District,Mukono Municipality
F826wgZ6HPF,MOH - Uganda,South Buganda,Masaka District,Masaka DLG
f8dk4yH4rEF,MOH - Uganda,West Nile,Arua City,Arua City Council
F8jqYgk21HM,MOH - Uganda,Kampala,Kampala District,Kampala City Council
f8JtBXP4GBx,MOH - Uganda,Ankole,Bushenyi District,Bushenyi DLG
f8m6k3MjPsf,MOH - Uganda,Teso,Serere District,Serere DLG
F8yBwdNB8LA,MOH - Uganda,West Nile,Moyo District,Moyo DLG
F91loQ3NbZg,MOH - Uganda,Kampala,Kampala District,Kampala City Council
F95JuT67deh,MOH - Uganda,Kampala,Kampala District,Kampala City Council
F9CI9eMBhCE,MOH - Uganda,Busoga,Bugiri District,Bugiri DLG
f9fKOJR5Sg1,MOH - Uganda,Kampala,Kampala District,Kampala City Council
F9huQsd2zLK,MOH - Uganda,North Buganda,Mukono District,Mukono DLG
f9oPkk2jKiy,MOH - Uganda,Ankole,Mbarara City,Mbarara City Council
fa4DlPlxsuQ,MOH - Uganda,Bukedi,Tororo District,Tororo Municipality
FAjgEVpPiLO,MOH - Uganda,Tooro,Kasese District,Kasese DLG
FAlqwkwODjt,MOH - Uganda,Ankole,Ibanda District,Ibanda Municipality
FAMMVhd8cFY,MOH - Uganda,Kampala,Kampala District,Kampala City Council
fApMNlRxKs5,MOH - Uganda,Tooro,Kitagwenda District,Kitagwenda DLG
faVzytbD7Fb,MOH - Uganda,Kampala,Kampala District,Kampala City Council
fb3OMf58qdu,MOH - Uganda,Lango,Dokolo District,Dokolo DLG
FB9UPPYu0VI,MOH - Uganda,Ankole,Mbarara City,Mbarara City Council
FBaBSRXlMLz,MOH - Uganda,Kampala,Kampala District,Kampala City Council
