"facility_id","admin_area_1","admin_area_2","admin_area_3"
"A07DDnPfVPy","Zimbabwe Ministry of Health","me Mashonaland East Province","me Mudzi District"
"a1nC2XuGpY0","Zimbabwe Ministry of Health","me Mashonaland East Province","me Mudzi District"
"A1W7R6k1DFR","Zimbabwe Ministry of Health","mn Matabeleland North Province","mn Nkayi District"
"a53FjMa0Ant","Zimbabwe Ministry of Health","ma Manicaland Province","ma Mutare District"
"a5nhOcrZJdL","Zimbabwe Ministry of Health","mc Mashonaland Central Province","mc Mbire District"
"A6Zh7rdRYc6","Zimbabwe Ministry of Health","me Mashonaland East Province","me Goromonzi District"
"A79x3rVYbjm","Zimbabwe Ministry of Health","ma Manicaland Province","ma Chimanimani District"
"a7pO3OO3I52","Zimbabwe Ministry of Health","mn Matabeleland North Province","mn Hwange District"
"A925fAGWY0M","Zimbabwe Ministry of Health","mn Matabeleland North Province","mn Binga District"
"a9444lkFj8q","Zimbabwe Ministry of Health","ha Harare Metropolitan Province","ha Northern District"
"aA8JmPQmK81","Zimbabwe Ministry of Health","ma Manicaland Province","ma Nyanga District"
"AApdlLy8xDh","Zimbabwe Ministry of Health","mn Matabeleland North Province","mn Umguza District"
"ABH9FxABdpN","Zimbabwe Ministry of Health","ma Manicaland Province","ma Chipinge District"
"AbJRmrLd9eB","Zimbabwe Ministry of Health","mc Mashonaland Central Province","mc Mazowe District"
"aBLvPMrMUva","Zimbabwe Ministry of Health","ma Manicaland Province","ma Mutasa District"
"Abmo1sONk9G","Zimbabwe Ministry of Health","me Mashonaland East Province","me Seke District"
"AbmoDPp12lC","Zimbabwe Ministry of Health","me Mashonaland East Province","me Chikomba District"
"abUk6qibmMl","Zimbabwe Ministry of Health","mi Midlands Province","mi Shurugwi District"
"Ac5uYQLKdfz","Zimbabwe Ministry of Health","ha Harare Metropolitan Province","ha Eastern District"
"acCVg6eZCR4","Zimbabwe Ministry of Health","ms Matabeleland South Province","ms Umzingwane District"
"AcK4cq5nDXi","Zimbabwe Ministry of Health","mi Midlands Province","mi Gokwe South District"
"acQe3id5m7a","Zimbabwe Ministry of Health","mn Matabeleland North Province","mn Binga District"
"ACVRAzGDfqV","Zimbabwe Ministry of Health","me Mashonaland East Province","me Uzumba Maramba Pfungwe District"
"acZeUEYvJu9","Zimbabwe Ministry of Health","ma Manicaland Province","ma Mutare District"
"AD1DBy9TnBQ","Zimbabwe Ministry of Health","mv Masvingo Province","mv Masvingo District"
"AdgTOkaRMd1","Zimbabwe Ministry of Health","ma Manicaland Province","ma Mutasa District"
"AdrZGzBHBdf","Zimbabwe Ministry of Health","me Mashonaland East Province","me Uzumba Maramba Pfungwe District"
"aE9GkM17t5V","Zimbabwe Ministry of Health","mv Masvingo Province","mv Mwenezi District"
"AEArYs0pk3a","Zimbabwe Ministry of Health","ms Matabeleland South Province","ms Mangwe District"
"aFSG27wnzQY","Zimbabwe Ministry of Health","ma Manicaland Province","ma Buhera District"
"aG3e8vLBDp8","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Hurungwe District"
"AGTodPbg6kD","Zimbabwe Ministry of Health","mn Matabeleland North Province","mn Hwange District"
"aguTJqpXxlw","Zimbabwe Ministry of Health","ma Manicaland Province","ma Mutare District"
"ahIxYuB4HzP","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Hurungwe District"
"AHUpXALQka8","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Zvimba District"
"ai2dhghqcnv","Zimbabwe Ministry of Health","mv Masvingo Province","mv Gutu District"
"AI3PYYYx61D","Zimbabwe Ministry of Health","me Mashonaland East Province","me Mudzi District"
"Aiidz5NIu4q","Zimbabwe Ministry of Health","ma Manicaland Province","ma Chimanimani District"
"aIPqoEQQZu9","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Mhondoro District"
"AisLgbK7vVZ","Zimbabwe Ministry of Health","me Mashonaland East Province","me Marondera District"
"aJ0Yovbj54f","Zimbabwe Ministry of Health","ma Manicaland Province","ma Chipinge District"
"AJ3uwrj63yO","Zimbabwe Ministry of Health","mv Masvingo Province","mv Masvingo District"
"ajETJbPXyrQ","Zimbabwe Ministry of Health","mv Masvingo Province","mv Chivi District"
"AKb6QXbWJCC","Zimbabwe Ministry of Health","mn Matabeleland North Province","mn Lupane District"
"AKCduaeL1Bg","Zimbabwe Ministry of Health","ha Harare Metropolitan Province","ha Western District"
"AKCixQDIf0K","Zimbabwe Ministry of Health","me Mashonaland East Province","me Marondera District"
"aKQ3zNPhEB3","Zimbabwe Ministry of Health","ha Harare Metropolitan Province","ha Eastern District"
"AkqNidlm6TI","Zimbabwe Ministry of Health","ha Harare Metropolitan Province","ha Chitungwiza District"
"aL58fK7xuuQ","Zimbabwe Ministry of Health","mi Midlands Province","mi Shurugwi District"
"ALAVbX3p5mM","Zimbabwe Ministry of Health","mi Midlands Province","mi Chirumhanzu District"
"AlG6zGomOi6","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Hurungwe District"
"AlhbuXhG77V","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Zvimba District"
"ALuMO4vU6xH","Zimbabwe Ministry of Health","bu Bulawayo Metropolitan Province","bu Northern Suburbs District"
"AluwtlpghNX","Zimbabwe Ministry of Health","mn Matabeleland North Province","mn Bubi District"
"AMcdsZqn641","Zimbabwe Ministry of Health","mi Midlands Province","mi Gweru District"
"AMeY6hXLpfJ","Zimbabwe Ministry of Health","me Mashonaland East Province","me Hwedza District"
"aMFd7hYaHSk","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Zvimba District"
"AmshadDUFjP","Zimbabwe Ministry of Health","ma Manicaland Province","ma Buhera District"
"anB7WKFPWNK","Zimbabwe Ministry of Health","mn Matabeleland North Province","mn Nkayi District"
"anFVAVMwFHQ","Zimbabwe Ministry of Health","me Mashonaland East Province","me Mudzi District"
"AnhuqtGQXU9","Zimbabwe Ministry of Health","me Mashonaland East Province","me Mutoko District"
"AnZBTjK2nHz","Zimbabwe Ministry of Health","ma Manicaland Province","ma Chimanimani District"
"AoSdsIPLKWX","Zimbabwe Ministry of Health","ma Manicaland Province","ma Mutasa District"
"apmZoDToelb","Zimbabwe Ministry of Health","mi Midlands Province","mi Zvishavane District"
"aq8MAvUpdWn","Zimbabwe Ministry of Health","mn Matabeleland North Province","mn Hwange District"
"aqDFRDAgV5s","Zimbabwe Ministry of Health","mn Matabeleland North Province","mn Nkayi District"
"Aqp0UdKoD2W","Zimbabwe Ministry of Health","ma Manicaland Province","ma Chimanimani District"
"aQzGic9oHJG","Zimbabwe Ministry of Health","ha Harare Metropolitan Province","ha Southern District"
"Ar3EoMxeBHu","Zimbabwe Ministry of Health","bu Bulawayo Metropolitan Province","bu Northern Suburbs District"
"aRmDTKpYMUk","Zimbabwe Ministry of Health","ms Matabeleland South Province","ms Matobo District"
"arOd51g8jSQ","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Hurungwe District"
"ArXjrHhIJwx","Zimbabwe Ministry of Health","mc Mashonaland Central Province","mc Shamva District"
"arxXEDOObfS","Zimbabwe Ministry of Health","ma Manicaland Province","ma Chipinge District"
"AS8MaWY2nbY","Zimbabwe Ministry of Health","mn Matabeleland North Province","mn Hwange District"
"AsmK5WOEVFv","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Hurungwe District"
"at3qxY6zsWt","Zimbabwe Ministry of Health","ms Matabeleland South Province","ms Umzingwane District"
"atIzgRoLGLR","Zimbabwe Ministry of Health","mc Mashonaland Central Province","mc Bindura District"
"ATuks3IFh6J","Zimbabwe Ministry of Health","mv Masvingo Province","mv Chiredzi District"
"ATW7rLLuxXS","Zimbabwe Ministry of Health","ma Manicaland Province","ma Mutasa District"
"atzPnwnfKwM","Zimbabwe Ministry of Health","me Mashonaland East Province","me Mudzi District"
"aU0pH9gpvY9","Zimbabwe Ministry of Health","mc Mashonaland Central Province","mc Mazowe District"
"auaQozRIOLm","Zimbabwe Ministry of Health","mc Mashonaland Central Province","mc Mount Darwin District"
"AuqKYXFP66Z","Zimbabwe Ministry of Health","ha Harare Metropolitan Province","ha Eastern District"
"auz4Ra5EwDp","Zimbabwe Ministry of Health","me Mashonaland East Province","me Chikomba District"
"Av1WTSRTRYk","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Hurungwe District"
"AvldN9Anc7S","Zimbabwe Ministry of Health","mn Matabeleland North Province","mn Hwange District"
"Aw0gLK0LUg8","Zimbabwe Ministry of Health","ma Manicaland Province","ma Makoni District"
"aWd20Dgkezw","Zimbabwe Ministry of Health","mi Midlands Province","mi Mberengwa District"
"aWhygv9Wr7a","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Zvimba District"
"AWivwhWkNzl","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Hurungwe District"
"aWzNvLJPiws","Zimbabwe Ministry of Health","mn Matabeleland North Province","mn Hwange District"
"AXBqSlJtWxr","Zimbabwe Ministry of Health","mi Midlands Province","mi Mberengwa District"
"aXbupxQbubo","Zimbabwe Ministry of Health","ha Harare Metropolitan Province","ha Harare Central Hospitals"
"AXfud0aoV19","Zimbabwe Ministry of Health","mn Matabeleland North Province","mn Umguza District"
"AXXQQVWUbCw","Zimbabwe Ministry of Health","me Mashonaland East Province","me Mudzi District"
"AYEjUHiuvp5","Zimbabwe Ministry of Health","ha Harare Metropolitan Province","ha Northern District"
"AYlIKA9TEwG","Zimbabwe Ministry of Health","mc Mashonaland Central Province","mc Mazowe District"
"aymM2tvX3J6","Zimbabwe Ministry of Health","mv Masvingo Province","mv Zaka District"
"ayVaCeZSRAC","Zimbabwe Ministry of Health","ms Matabeleland South Province","ms Gwanda District"
"AyYBDjL6cmJ","Zimbabwe Ministry of Health","ha Harare Metropolitan Province","ha Eastern District"
"AZ9MMvkxJ5m","Zimbabwe Ministry of Health","me Mashonaland East Province","me Chikomba District"
"B0IgvxGs1In","Zimbabwe Ministry of Health","ms Matabeleland South Province","ms Beitbridge District"
"B0siCMc82Xc","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Chegutu District"
"b0WVnEWPk15","Zimbabwe Ministry of Health","ms Matabeleland South Province","ms Mangwe District"
"B35nVDlj7GY","Zimbabwe Ministry of Health","me Mashonaland East Province","me Marondera District"
"B3QCBw575UP","Zimbabwe Ministry of Health","ma Manicaland Province","ma Mutare District"
"b4DZ2ZmH6hz","Zimbabwe Ministry of Health","ha Harare Metropolitan Province","ha Eastern District"
"B7lz3ZdJEhH","Zimbabwe Ministry of Health","me Mashonaland East Province","me Murewa District"
"B7MCqlnt9c9","Zimbabwe Ministry of Health","me Mashonaland East Province","me Goromonzi District"
"b8LkZ42m1MF","Zimbabwe Ministry of Health","mn Matabeleland North Province","mn Umguza District"
"B9rF35hip2q","Zimbabwe Ministry of Health","mc Mashonaland Central Province","mc Guruve District"
"b9vsXIKqid1","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Zvimba District"
"Ba8txogG0jd","Zimbabwe Ministry of Health","mv Masvingo Province","mv Gutu District"
"BAf7gHorQXx","Zimbabwe Ministry of Health","mi Midlands Province","mi Gweru District"
"Barfe69M30o","Zimbabwe Ministry of Health","ms Matabeleland South Province","ms Insiza District"
"bCGckHi7m7T","Zimbabwe Ministry of Health","mi Midlands Province","mi Zvishavane District"
"bCj2JfVpDwN","Zimbabwe Ministry of Health","bu Bulawayo Metropolitan Province","bu Emakhandeni District"
"BCQx0EncS5A","Zimbabwe Ministry of Health","mc Mashonaland Central Province","mc Mazowe District"
"bcTRZqn3n4R","Zimbabwe Ministry of Health","mc Mashonaland Central Province","mc Mbire District"
"BD1Jfvjv9U2","Zimbabwe Ministry of Health","ma Manicaland Province","ma Buhera District"
"bdCSEqaZjQ0","Zimbabwe Ministry of Health","mv Masvingo Province","mv Gutu District"
"BDPOo7vb6SH","Zimbabwe Ministry of Health","mv Masvingo Province","mv Gutu District"
"BEFoLFs36HA","Zimbabwe Ministry of Health","mi Midlands Province","mi Mberengwa District"
"bEJ6QvvP0jI","Zimbabwe Ministry of Health","ma Manicaland Province","ma Buhera District"
"bEmbaNMwOhq","Zimbabwe Ministry of Health","mv Masvingo Province","mv Zaka District"
"bEmIi49FX23","Zimbabwe Ministry of Health","ma Manicaland Province","ma Makoni District"
"BemKVece1hq","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Mhondoro District"
"BeVXhb4Okd5","Zimbabwe Ministry of Health","mn Matabeleland North Province","mn Lupane District"
"bFCxwAuThTm","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Zvimba District"
"BGXb33lhLbj","Zimbabwe Ministry of Health","mv Masvingo Province","mv Bikita District"
"bh46Jbdsx4Y","Zimbabwe Ministry of Health","mn Matabeleland North Province","mn Lupane District"
"bI1tMUwxCTF","Zimbabwe Ministry of Health","ha Harare Metropolitan Province","ha Ruwa"
"BjFADhdArfI","Zimbabwe Ministry of Health","ms Matabeleland South Province","ms Beitbridge District"
"BKddJTAY4SX","Zimbabwe Ministry of Health","ma Manicaland Province","ma Chipinge District"
"bkJsHaY2lJu","Zimbabwe Ministry of Health","mn Matabeleland North Province","mn Hwange District"
"BkYTPx8PjB7","Zimbabwe Ministry of Health","mv Masvingo Province","mv Bikita District"
"BKZmRVJ0K9V","Zimbabwe Ministry of Health","me Mashonaland East Province","me Marondera District"
"blxFf086iZk","Zimbabwe Ministry of Health","mc Mashonaland Central Province","mc Shamva District"
"bM0W5COOBgn","Zimbabwe Ministry of Health","me Mashonaland East Province","me Murewa District"
"bMB2Akda6JK","Zimbabwe Ministry of Health","ha Harare Metropolitan Province","ha Southern District"
"bmL5zWEj6T7","Zimbabwe Ministry of Health","ms Matabeleland South Province","ms Bulilima District"
"BmQ8l3yqaT3","Zimbabwe Ministry of Health","ma Manicaland Province","ma Mutare District"
"BnH3EgzEjkO","Zimbabwe Ministry of Health","mn Matabeleland North Province","mn Tsholotsho District"
"BnuCMCoUXxB","Zimbabwe Ministry of Health","ma Manicaland Province","ma Makoni District"
"bO62hSAscwQ","Zimbabwe Ministry of Health","ma Manicaland Province","ma Mutare District"
"bobWVF9dPvh","Zimbabwe Ministry of Health","mi Midlands Province","mi Zvishavane District"
"BonXdPEgO3t","Zimbabwe Ministry of Health","mn Matabeleland North Province","mn Binga District"
"BotP1Hanr0I","Zimbabwe Ministry of Health","ma Manicaland Province","ma Makoni District"
"BP9mhp7zXMN","Zimbabwe Ministry of Health","ms Matabeleland South Province","ms Matobo District"
"BPSZw11rBpE","Zimbabwe Ministry of Health","mi Midlands Province","mi Zvishavane District"
"BPTlzlZSXck","Zimbabwe Ministry of Health","ma Manicaland Province","ma Buhera District"
"Bptnjxo6m5A","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Chegutu District"
"bpu2ZCmx7d3","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Makonde District"
"BQcTE41rnsP","Zimbabwe Ministry of Health","ha Harare Metropolitan Province","ha Eastern District"
"bQEbyIDLBKt","Zimbabwe Ministry of Health","mv Masvingo Province","mv Masvingo District"
"bQhagFY1QGO","Zimbabwe Ministry of Health","ha Harare Metropolitan Province","ha Western District"
"bRFxAPT5tIp","Zimbabwe Ministry of Health","ma Manicaland Province","ma Mutare District"
"brQm8hctUbs","Zimbabwe Ministry of Health","mi Midlands Province","mi Kwekwe District"
"bs45px6C40Q","Zimbabwe Ministry of Health","mc Mashonaland Central Province","mc Mazowe District"
"btFbJ8rOmaG","Zimbabwe Ministry of Health","ms Matabeleland South Province","ms Insiza District"
"bthbb1sWMTl","Zimbabwe Ministry of Health","mi Midlands Province","mi Zvishavane District"
"btpo9RLUGxP","Zimbabwe Ministry of Health","mi Midlands Province","mi Gokwe South District"
"btQLHUfv7tp","Zimbabwe Ministry of Health","ms Matabeleland South Province","ms Gwanda District"
"btYpSUbB5ae","Zimbabwe Ministry of Health","ha Harare Metropolitan Province","ha Northern District"
"bUaxaZ6EBrj","Zimbabwe Ministry of Health","ma Manicaland Province","ma Mutasa District"
"buXk1hhtm34","Zimbabwe Ministry of Health","ha Harare Metropolitan Province","ha Ruwa"
"BV3ZNqkJn31","Zimbabwe Ministry of Health","mi Midlands Province","mi Gokwe North District"
"bvCr3KyoKpI","Zimbabwe Ministry of Health","mv Masvingo Province","mv Gutu District"
"bvFiCAdBoNC","Zimbabwe Ministry of Health","me Mashonaland East Province","me Goromonzi District"
"bvHAxX0E4E3","Zimbabwe Ministry of Health","ma Manicaland Province","ma Mutare District"
"Bvkjml3FqP8","Zimbabwe Ministry of Health","mv Masvingo Province","mv Mwenezi District"
"bVyRm1Ji34n","Zimbabwe Ministry of Health","mc Mashonaland Central Province","mc Mount Darwin District"
"BWHB0AClSm2","Zimbabwe Ministry of Health","mn Matabeleland North Province","mn Bubi District"
"BwhiLyWCv3K","Zimbabwe Ministry of Health","mv Masvingo Province","mv Masvingo District"
"BWIG3f8pztU","Zimbabwe Ministry of Health","me Mashonaland East Province","me Marondera District"
"BX0lrhmpmJS","Zimbabwe Ministry of Health","me Mashonaland East Province","me Chikomba District"
"j5z5Vg20MEn","Zimbabwe Ministry of Health","ma Manicaland Province","ma Mutare District"
"BxD34pddyBt","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Mhondoro District"
"BXJNIljcB4y","Zimbabwe Ministry of Health","mc Mashonaland Central Province","mc Mazowe District"
"bXlxEPKa20b","Zimbabwe Ministry of Health","mi Midlands Province","mi Gokwe North District"
"BXR3t59Q5K9","Zimbabwe Ministry of Health","bu Bulawayo Metropolitan Province","bu Northern Suburbs District"
"byadYrctbqg","Zimbabwe Ministry of Health","mi Midlands Province","mi Kwekwe District"
"BYPQOMMwWqL","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Makonde District"
"BZOLhPC0o23","Zimbabwe Ministry of Health","mi Midlands Province","mi Kwekwe District"
"C04QiGQzbtb","Zimbabwe Ministry of Health","ms Matabeleland South Province","ms Beitbridge District"
"c0IieswYbFt","Zimbabwe Ministry of Health","ms Matabeleland South Province","ms Beitbridge District"
"c1S6761B2UU","Zimbabwe Ministry of Health","ha Harare Metropolitan Province","ha Epworth"
"c27sRLtrAAv","Zimbabwe Ministry of Health","mi Midlands Province","mi Zvishavane District"
"C31Snb6h6dX","Zimbabwe Ministry of Health","ms Matabeleland South Province","ms Umzingwane District"
"c3kGl224qGl","Zimbabwe Ministry of Health","ms Matabeleland South Province","ms Mangwe District"
"C3NcCrDgghe","Zimbabwe Ministry of Health","mv Masvingo Province","mv Gutu District"
"C4IOdmEL8Lf","Zimbabwe Ministry of Health","mi Midlands Province","mi Kwekwe District"
"C5NOjTNMSLP","Zimbabwe Ministry of Health","mv Masvingo Province","mv Chiredzi District"
"C7k9RxJ74Bd","Zimbabwe Ministry of Health","ha Harare Metropolitan Province","ha Epworth"
"C8cvRyUwNvw","Zimbabwe Ministry of Health","mi Midlands Province","mi Gokwe South District"
"cA3Rx1yM4Un","Zimbabwe Ministry of Health","ma Manicaland Province","ma Nyanga District"
"cAMje9pQE3E","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Mhondoro District"
"caxcNeLNWje","Zimbabwe Ministry of Health","ma Manicaland Province","ma Buhera District"
"CBoxkuesX1p","Zimbabwe Ministry of Health","ha Harare Metropolitan Province","ha Ruwa"
"cBXTpF0j9Li","Zimbabwe Ministry of Health","mi Midlands Province","mi Kwekwe District"
"Cc5fCsfiMeA","Zimbabwe Ministry of Health","ma Manicaland Province","ma Chimanimani District"
"cCdp294NXnX","Zimbabwe Ministry of Health","me Mashonaland East Province","me Mutoko District"
"CcXoFggKtLM","Zimbabwe Ministry of Health","bu Bulawayo Metropolitan Province","bu Northern Suburbs District"
"cD95jTscQmY","Zimbabwe Ministry of Health","me Mashonaland East Province","me Murewa District"
"cdDx6dXekAS","Zimbabwe Ministry of Health","mi Midlands Province","mi Kwekwe District"
"cdFeP19JNZ0","Zimbabwe Ministry of Health","ma Manicaland Province","ma Nyanga District"
"cDFU6IoltJP","Zimbabwe Ministry of Health","ma Manicaland Province","ma Mutare District"
"cDMh15Lx49d","Zimbabwe Ministry of Health","ma Manicaland Province","ma Buhera District"
"ceQaGshezwG","Zimbabwe Ministry of Health","mi Midlands Province","mi Gokwe South District"
"ceUL4u9t9at","Zimbabwe Ministry of Health","ma Manicaland Province","ma Makoni District"
"cfjk1dGjdlQ","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Chegutu District"
"CfSF8vkX9AT","Zimbabwe Ministry of Health","ma Manicaland Province","ma Mutare District"
"cfYVFtLReGT","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Makonde District"
"cfyzxG8NXg5","Zimbabwe Ministry of Health","ma Manicaland Province","ma Chipinge District"
"CgHpXtKGPab","Zimbabwe Ministry of Health","mv Masvingo Province","mv Masvingo District"
"cGLXwIb6qa3","Zimbabwe Ministry of Health","ma Manicaland Province","ma Nyanga District"
"CGm37qYHO3h","Zimbabwe Ministry of Health","mn Matabeleland North Province","mn Tsholotsho District"
"CGPfx0JG2rZ","Zimbabwe Ministry of Health","me Mashonaland East Province","me Uzumba Maramba Pfungwe District"
"CgvZBugWYNn","Zimbabwe Ministry of Health","bu Bulawayo Metropolitan Province","bu Northern Suburbs District"
"cHsk8ISst3c","Zimbabwe Ministry of Health","ms Matabeleland South Province","ms Matobo District"
"cHT3PnSLQGW","Zimbabwe Ministry of Health","mi Midlands Province","mi Shurugwi District"
"ChudQ17X9zf","Zimbabwe Ministry of Health","ma Manicaland Province","ma Mutasa District"
"cHV2bfs6fO7","Zimbabwe Ministry of Health","ma Manicaland Province","ma Mutasa District"
"ci8nTvALyD5","Zimbabwe Ministry of Health","mi Midlands Province","mi Kwekwe District"
"CijX89n5eHh","Zimbabwe Ministry of Health","me Mashonaland East Province","me Murewa District"
"CJHjHhKo5dr","Zimbabwe Ministry of Health","mn Matabeleland North Province","mn Lupane District"
"CjhuibtqJ9P","Zimbabwe Ministry of Health","ma Manicaland Province","ma Mutasa District"
"cjtHIvjlvHq","Zimbabwe Ministry of Health","ms Matabeleland South Province","ms Gwanda District"
"ck7pLPOQFDF","Zimbabwe Ministry of Health","mv Masvingo Province","mv Masvingo District"
"CK9XQFNrRzR","Zimbabwe Ministry of Health","mv Masvingo Province","mv Gutu District"
"CktmRE9FieY","Zimbabwe Ministry of Health","mv Masvingo Province","mv Chiredzi District"
"CLY1s9f87Kn","Zimbabwe Ministry of Health","bu Bulawayo Metropolitan Province","bu Northern Suburbs District"
"cm0WmYTq019","Zimbabwe Ministry of Health","mn Matabeleland North Province","mn Tsholotsho District"
"cMGGgI1kcoa","Zimbabwe Ministry of Health","me Mashonaland East Province","me Goromonzi District"
"cn05qNHxtLo","Zimbabwe Ministry of Health","mi Midlands Province","mi Gokwe North District"
"CoBuECjxZyS","Zimbabwe Ministry of Health","mv Masvingo Province","mv Mwenezi District"
"CoDcWjdllv7","Zimbabwe Ministry of Health","mi Midlands Province","mi Zvishavane District"
"cOFrvE80WQ7","Zimbabwe Ministry of Health","ms Matabeleland South Province","ms Beitbridge District"
"CP661imetWS","Zimbabwe Ministry of Health","ma Manicaland Province","ma Makoni District"
"CpgIKDUylA4","Zimbabwe Ministry of Health","mn Matabeleland North Province","mn Hwange District"
"CQ3o6mYp1Zp","Zimbabwe Ministry of Health","ma Manicaland Province","ma Chimanimani District"
"cqLTAjlxeg3","Zimbabwe Ministry of Health","ha Harare Metropolitan Province","ha Southern District"
"cR7Npl4ihAb","Zimbabwe Ministry of Health","mc Mashonaland Central Province","mc Mbire District"
"crCCkYOvmme","Zimbabwe Ministry of Health","ma Manicaland Province","ma Buhera District"
"cRkoSonRwkO","Zimbabwe Ministry of Health","ha Harare Metropolitan Province","ha Western District"
"CRnw6S2VnRr","Zimbabwe Ministry of Health","ms Matabeleland South Province","ms Matobo District"
"croT0mcnle6","Zimbabwe Ministry of Health","ms Matabeleland South Province","ms Mangwe District"
"CruRr3BB7uS","Zimbabwe Ministry of Health","mi Midlands Province","mi Gweru District"
"cs3euJGArOo","Zimbabwe Ministry of Health","bu Bulawayo Metropolitan Province","bu Northern Suburbs District"
"CSEp89EQzMI","Zimbabwe Ministry of Health","ma Manicaland Province","ma Makoni District"
"cSIpEWtt0J1","Zimbabwe Ministry of Health","mc Mashonaland Central Province","mc Mount Darwin District"
"CsrqsNpaRqk","Zimbabwe Ministry of Health","mv Masvingo Province","mv Gutu District"
"CSsaMpKG6AQ","Zimbabwe Ministry of Health","ma Manicaland Province","ma Chipinge District"
"cSWNVcN3NRE","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Hurungwe District"
"CtbET5eDrAS","Zimbabwe Ministry of Health","ha Harare Metropolitan Province","ha Chitungwiza District"
"CTerEXEJnJ1","Zimbabwe Ministry of Health","me Mashonaland East Province","me Goromonzi District"
"CtwfEoZrU3T","Zimbabwe Ministry of Health","mv Masvingo Province","mv Zaka District"
"cU1KznGD8Li","Zimbabwe Ministry of Health","ha Harare Metropolitan Province","ha Chitungwiza District"
"cuaFWOVyBcF","Zimbabwe Ministry of Health","me Mashonaland East Province","me Seke District"
"CuuhL6E9mz8","Zimbabwe Ministry of Health","ma Manicaland Province","ma Chipinge District"
"CV4IXOSr5ky","Zimbabwe Ministry of Health","ma Manicaland Province","ma Buhera District"
"Cv6kmfDxwVs","Zimbabwe Ministry of Health","mi Midlands Province","mi Chirumhanzu District"
"CVszPWzF4WE","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Chegutu District"
"CvwlQZJp9g7","Zimbabwe Ministry of Health","ma Manicaland Province","ma Chipinge District"
"CwWMght8FRk","Zimbabwe Ministry of Health","mv Masvingo Province","mv Gutu District"
"cxEUTwqCY6A","Zimbabwe Ministry of Health","mi Midlands Province","mi Mberengwa District"
"cXIACOdC70S","Zimbabwe Ministry of Health","mc Mashonaland Central Province","mc Guruve District"
"CXLqK6E4nCr","Zimbabwe Ministry of Health","mi Midlands Province","mi Gokwe South District"
"CxlReo4oAPb","Zimbabwe Ministry of Health","mc Mashonaland Central Province","mc Mazowe District"
"cYGPBGuZmRf","Zimbabwe Ministry of Health","ma Manicaland Province","ma Makoni District"
"CyQ4iEYBfWW","Zimbabwe Ministry of Health","ms Matabeleland South Province","ms Mangwe District"
"CyzLGOqW4CZ","Zimbabwe Ministry of Health","bu Bulawayo Metropolitan Province","bu Northern Suburbs District"
"czJaFNMnZaU","Zimbabwe Ministry of Health","mi Midlands Province","mi Gweru District"
"czkUvOxUq00","Zimbabwe Ministry of Health","mv Masvingo Province","mv Bikita District"
"Czle6XjxWyz","Zimbabwe Ministry of Health","mv Masvingo Province","mv Mwenezi District"
"CZWF01QsFtT","Zimbabwe Ministry of Health","ma Manicaland Province","ma Makoni District"
"d0jck2poqAe","Zimbabwe Ministry of Health","me Mashonaland East Province","me Marondera District"
"D1owZMn5nGm","Zimbabwe Ministry of Health","ma Manicaland Province","ma Mutasa District"
"d2v7CqsxBrg","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Zvimba District"
"d36D8bX616g","Zimbabwe Ministry of Health","me Mashonaland East Province","me Seke District"
"d3nnIyRIBkd","Zimbabwe Ministry of Health","mv Masvingo Province","mv Chiredzi District"
"d3VmuOC7Mz5","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Makonde District"
"D4WpAh9SgYH","Zimbabwe Ministry of Health","me Mashonaland East Province","me Mutoko District"
"D5gTnvm2lRc","Zimbabwe Ministry of Health","mc Mashonaland Central Province","mc Mount Darwin District"
"D60BOYa5XlG","Zimbabwe Ministry of Health","mn Matabeleland North Province","mn Bubi District"
"D6N8UWfVAPe","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Sanyati District"
"d73t6Bs5YRb","Zimbabwe Ministry of Health","mi Midlands Province","mi Chirumhanzu District"
