"facility_id","admin_area_1","admin_area_2","admin_area_3"
"uwaxQgd4SXs","Zimbabwe Ministry of Health","mi Midlands Province","mi Mberengwa District"
"uweESzoWvGX","Zimbabwe Ministry of Health","ha Harare Metropolitan Province","ha Northern District"
"UWioIdFCTFv","Zimbabwe Ministry of Health","mc Mashonaland Central Province","mc Centenary District"
"UWlAvJGXIFq","Zimbabwe Ministry of Health","me Mashonaland East Province","me Chikomba District"
"uXG7AmdmYq1","Zimbabwe Ministry of Health","ma Manicaland Province","ma Mutasa District"
"UxQucFI6E3p","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Kariba District"
"UXSP7PvIeDp","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Hurungwe District"
"UXwsoodN7jT","Zimbabwe Ministry of Health","mi Midlands Province","mi Zvishavane District"
"UZ7r9hwZMgd","Zimbabwe Ministry of Health","ms Matabeleland South Province","ms Gwanda District"
"uZabhmqGPGR","Zimbabwe Ministry of Health","ha Harare Metropolitan Province","ha Northern District"
"Uzc69lvByvk","Zimbabwe Ministry of Health","me Mashonaland East Province","me Mudzi District"
"UZqwaoVwvED","Zimbabwe Ministry of Health","bu Bulawayo Metropolitan Province","bu Northern Suburbs District"
"UzwlH9DKyqL","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Hurungwe District"
"uZx1AbqBvTk","Zimbabwe Ministry of Health","bu Bulawayo Metropolitan Province","bu Northern Suburbs District"
"v038Gk7E3aC","Zimbabwe Ministry of Health","mv Masvingo Province","mv Gutu District"
"v0iFLfLnhZu","Zimbabwe Ministry of Health","mc Mashonaland Central Province","mc Shamva District"
"v0m8r70tRq1","Zimbabwe Ministry of Health","mi Midlands Province","mi Mberengwa District"
"v2vaeAxaZMm","Zimbabwe Ministry of Health","mc Mashonaland Central Province","mc Mount Darwin District"
"v36ugriKdqP","Zimbabwe Ministry of Health","mv Masvingo Province","mv Chivi District"
"V3JpY96kdVF","Zimbabwe Ministry of Health","ms Matabeleland South Province","ms Gwanda District"
"v3sUCVOHQFr","Zimbabwe Ministry of Health","ma Manicaland Province","ma Buhera District"
"V40fJlBGl5l","Zimbabwe Ministry of Health","mn Matabeleland North Province","mn Binga District"
"v59WnRtc1MF","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Makonde District"
"v5HsXI0RbYg","Zimbabwe Ministry of Health","mn Matabeleland North Province","mn Tsholotsho District"
"v8hbbEXJulE","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Makonde District"
"V91qrg6c0yU","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Sanyati District"
"v93SBcv3pGc","Zimbabwe Ministry of Health","me Mashonaland East Province","me Chikomba District"
"V940MdyISbz","Zimbabwe Ministry of Health","mc Mashonaland Central Province","mc Centenary District"
"vaadLnYaGoB","Zimbabwe Ministry of Health","ha Harare Metropolitan Province","ha Ruwa"
"VATVqZOmGeR","Zimbabwe Ministry of Health","mi Midlands Province","mi Gweru District"
"VAUEhOQ0M5c","Zimbabwe Ministry of Health","ma Manicaland Province","ma Nyanga District"
"vb0GjmvFmNM","Zimbabwe Ministry of Health","mv Masvingo Province","mv Gutu District"
"VBQGAnJefui","Zimbabwe Ministry of Health","ma Manicaland Province","ma Mutare District"
"vCdwyhmdzCe","Zimbabwe Ministry of Health","me Mashonaland East Province","me Mudzi District"
"vD0cmk3nKr1","Zimbabwe Ministry of Health","ma Manicaland Province","ma Mutasa District"
"VD1EhcQ8bNE","Zimbabwe Ministry of Health","mv Masvingo Province","mv Chivi District"
"vDdAHJWNfHn","Zimbabwe Ministry of Health","mn Matabeleland North Province","mn Tsholotsho District"
"VdDV1ffFXiF","Zimbabwe Ministry of Health","me Mashonaland East Province","me Mutoko District"
"Ve7IRU3xTkP","Zimbabwe Ministry of Health","mi Midlands Province","mi Kwekwe District"
"veHcLRZXMge","Zimbabwe Ministry of Health","ma Manicaland Province","ma Buhera District"
"VfrcAWmDlIN","Zimbabwe Ministry of Health","ma Manicaland Province","ma Makoni District"
"vgNfspLVkjB","Zimbabwe Ministry of Health","ms Matabeleland South Province","ms Mangwe District"
"VGSf8Penxpm","Zimbabwe Ministry of Health","mc Mashonaland Central Province","mc Guruve District"
"vHEgaMne8F1","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Zvimba District"
"vI1Kf4HOQla","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Hurungwe District"
"vi3jgKDczTD","Zimbabwe Ministry of Health","mv Masvingo Province","mv Zaka District"
"VJ0Qw6b1JSY","Zimbabwe Ministry of Health","mv Masvingo Province","mv Zaka District"
"Vjl8EMsht4t","Zimbabwe Ministry of Health","mi Midlands Province","mi Mberengwa District"
"vkNmGPfwSDf","Zimbabwe Ministry of Health","ma Manicaland Province","ma Chipinge District"
"VKTZGYgvGbX","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Makonde District"
"vkZIaoGo7gn","Zimbabwe Ministry of Health","ma Manicaland Province","ma Chipinge District"
"VLNtxlzeaPn","Zimbabwe Ministry of Health","ma Manicaland Province","ma Chipinge District"
"VLU8E3WT4jR","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Hurungwe District"
"vmBd8udkbC3","Zimbabwe Ministry of Health","ha Harare Metropolitan Province","ha Western District"
"vMCUDg37YDQ","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Makonde District"
"vmdkQ7STLQm","Zimbabwe Ministry of Health","bu Bulawayo Metropolitan Province","bu Northern Suburbs District"
"vMhfQ2lxNWJ","Zimbabwe Ministry of Health","mv Masvingo Province","mv Bikita District"
"vn0WMoBf2hU","Zimbabwe Ministry of Health","mv Masvingo Province","mv Masvingo District"
"Vn3AM05xH0r","Zimbabwe Ministry of Health","me Mashonaland East Province","me Hwedza District"
"Vnao7x56mXt","Zimbabwe Ministry of Health","ha Harare Metropolitan Province","ha Southern District"
"vnk8ws8BiGl","Zimbabwe Ministry of Health","mn Matabeleland North Province","mn Umguza District"
"vNLa4tivRuh","Zimbabwe Ministry of Health","mv Masvingo Province","mv Gutu District"
"VnlpQ4mjJfr","Zimbabwe Ministry of Health","ha Harare Metropolitan Province","ha Ruwa"
"vo5ZD5eTTjh","Zimbabwe Ministry of Health","ma Manicaland Province","ma Chimanimani District"
"voCqrifiYBN","Zimbabwe Ministry of Health","mv Masvingo Province","mv Masvingo District"
"VoknraZ68xy","Zimbabwe Ministry of Health","ha Harare Metropolitan Province","ha Southern District"
"vOKXJZ2XdaM","Zimbabwe Ministry of Health","mv Masvingo Province","mv Masvingo District"
"vONpIKSoHg1","Zimbabwe Ministry of Health","mi Midlands Province","mi Gweru District"
"voupqZXYz1a","Zimbabwe Ministry of Health","mv Masvingo Province","mv Gutu District"
"VplhWkXe21U","Zimbabwe Ministry of Health","mv Masvingo Province","mv Mwenezi District"
"vpzJk8cjnPq","Zimbabwe Ministry of Health","mn Matabeleland North Province","mn Umguza District"
"vqXF1QD51qV","Zimbabwe Ministry of Health","mi Midlands Province","mi Gweru District"
"VRhyfZsm2tg","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Kariba District"
"VsCO40x1g1H","Zimbabwe Ministry of Health","ha Harare Metropolitan Province","ha Harare Central Hospitals"
"vT5oaS4TOdg","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Chegutu District"
"vTaoplhoJM3","Zimbabwe Ministry of Health","ma Manicaland Province","ma Chimanimani District"
"vTet0yGknw8","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Sanyati District"
"VtqCMMVSjR5","Zimbabwe Ministry of Health","ha Harare Metropolitan Province","ha Eastern District"
"vu1VRNXKPmX","Zimbabwe Ministry of Health","mc Mashonaland Central Province","mc Mount Darwin District"
"vubZWOdIwQU","Zimbabwe Ministry of Health","ma Manicaland Province","ma Makoni District"
"vUjMV9NBf7l","Zimbabwe Ministry of Health","me Mashonaland East Province","me Uzumba Maramba Pfungwe District"
"vvbLDyFCjWc","Zimbabwe Ministry of Health","ma Manicaland Province","ma Mutare District"
"vvIjMN898IB","Zimbabwe Ministry of Health","ma Manicaland Province","ma Makoni District"
"vVmQGytV5iT","Zimbabwe Ministry of Health","mc Mashonaland Central Province","mc Mount Darwin District"
"VWMkdfPIFPU","Zimbabwe Ministry of Health","bu Bulawayo Metropolitan Province","bu Northern Suburbs District"
"VXdzwHagVkQ","Zimbabwe Ministry of Health","mc Mashonaland Central Province","mc Centenary District"
"VXlbEmt9svC","Zimbabwe Ministry of Health","ms Matabeleland South Province","ms Gwanda District"
"VXOJUFZg0OY","Zimbabwe Ministry of Health","ms Matabeleland South Province","ms Bulilima District"
"vxr7EKi2O6D","Zimbabwe Ministry of Health","mv Masvingo Province","mv Masvingo District"
"VyjlnYDk0Qv","Zimbabwe Ministry of Health","ha Harare Metropolitan Province","ha Eastern District"
"vyqimrfz51a","Zimbabwe Ministry of Health","ma Manicaland Province","ma Makoni District"
"vZADsV7Sw4f","Zimbabwe Ministry of Health","mi Midlands Province","mi Shurugwi District"
"VzoCjYnSVc2","Zimbabwe Ministry of Health","mv Masvingo Province","mv Masvingo District"
"vzOHH2UeLTM","Zimbabwe Ministry of Health","bu Bulawayo Metropolitan Province","bu Nkulumane District"
"VZoj6lPM4Ng","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Kariba District"
"w1KvMDHi7cA","Zimbabwe Ministry of Health","ma Manicaland Province","ma Chimanimani District"
"W3CM8rlvrFX","Zimbabwe Ministry of Health","bu Bulawayo Metropolitan Province","bu Northern Suburbs District"
