facility_id,admin_area_1,admin_area_2,admin_area_3,admin_area_4
BA6FNQgOjzf,Niger,Zinder,DS Goure,Commune Kelle
bAdySA5eyRb,Niger,Dosso,DS Tibiri,Commune Kore Mairoua
bAEvPPHApTd,Niger,Tahoua,DS Tahoua Commune,Commune Tahoua Ii
BAJ1rEunMcz,Niger,Agadez,DS Ingall,Commune Ingall
BaKyGThpHYC,Niger,Maradi,DS Bermo,Commune Gadabedji
baMikt6A0C2,Niger,Zinder,DS Goure,Commune Boune
baqe1sUTSrU,Niger,Diffa,DS Bosso,Commune Bosso
Baz1bIOfbvH,Niger,Tillaberi,DS Tillabery,Commune Kourtey
BBcPK1hmVu8,Niger,Tillaberi,DS Gotheye,Commune Dargol
BbDdfwxPIRu,Niger,Zinder,DS Tanout,Commune Gangara Tanout
BbHRLRUAmxG,Niger,Dosso,DS Boboye,Commune de Birni N'Gaouré
bbtvGtR3VEJ,Niger,Dosso,DS Dogon Doutchi,Commune Kieche
bBuJCVl45gd,Niger,Tahoua,DS Tchintabaraden,Commune Tchintabaraden
BBZ2dd1pdhX,Niger,Tillaberi,DS Gotheye,Commune Dargol
BC0jtGQRIzj,Niger,Tillaberi,DS Fillingue,Commune Imanan( Bonkoukou)
bca2gjARAtB,Niger,Maradi,DS Gazaoua,Commune Gazaoua
BCAUhL1wn8g,Niger,Dosso,DS Dosso,Commune Kargui Bangou
bCayQjPO3F5,Niger,Dosso,DS Tibiri,Commune Kore Mairoua
BcXdgEb7eNF,Niger,Zinder,DS Goure,Commune Guidiguir
bCZqQtKbT6K,Niger,Tahoua,DS Tahoua Commune,Commune Tahoua I
Bd0qGs2WsIV,Niger,Tillaberi,DS Kollo,Commune Kouré
bd1zNCnOr9L,Niger,Dosso,DS Falmey,Commune Falmeye
bdegB1md6zY,Niger,Zinder,DS Goure,Commune Kelle
BDjlxYT2j24,Niger,Tahoua,DS Keita,Commune Ibohamane
BDnMcg0lGkx,Niger,Agadez,DS Tchirozérine,Commune Tchirozérine
BdNYo4Ox96S,Niger,Dosso,DS Dioundou,Commune Dioundiou
BdPucrutslW,Niger,Maradi,DS Dakoro,Commune Soly
BdruqI1pUKF,Niger,Niamey,DS Niamey III,Commune 3ème Arrondissement
BdtsQefygj4,Niger,Niamey,DS Niamey III,Commune 3ème Arrondissement
BdVhL8HHMED,Niger,Tahoua,DS Madaoua,Commune Azerori
bE26qZVb7nj,Niger,Tahoua,DS Tahoua Commune,Commune Tahoua I
BE2MdqzeDYs,Niger,Agadez,DS Agadez,Commune Agadez
bE7WRTNzj3u,Niger,Tahoua,DS Bouza,Commune Tama
BedL3YssS24,Niger,Maradi,DS Dakoro,Commune Adjekoria
Bf4mfkcPfPM,Niger,Tillaberi,DS Kollo,Commune Hamdallaye
BFGHtimRdGi,Niger,Maradi,DS Tessaoua,Commune Maijirgui
BFIJ6pCmYuP,Niger,Tahoua,DS Birni Konni,Commune Bazaga
bfkeTT2XOR0,Niger,Niamey,DS Niamey IV,Commune 4ème Arrondissement
bg28FOpf22G,Niger,Maradi,DS Tessaoua,Commune Koona
Bg40pXZHNpz,Niger,Maradi,DS Mayahi,Commune Mayahi
BG9McJzU0bd,Niger,Tillaberi,DS Balleyara,Commune Tagazar
BGE93WW6E26,Niger,Dosso,DS Dosso,Commune Mokko
bGFSZiyXNBH,Niger,Diffa,DS Diffa,Commune Chétimari
bglKMVBcE5u,Niger,Maradi,DS Mayahi,Commune Kanembakache
Bh0weEmsVo9,Niger,Dosso,DS Dogon Doutchi,Commune Dan Kassari
BhGV2AT3QLt,Niger,Zinder,DS Tanout,HD Tanout
BhgZyAlYuUq,Niger,Agadez,DS Agadez,Commune Agadez
bhhxaWh09HV,Niger,Tillaberi,DS Balleyara,Commune Tagazar
bHMC0h6uwto,Niger,Tahoua,DS Birni Konni,Commune Birni N'Konni
BhNdx7SBnNc,Niger,Tillaberi,DS Tillabery,Commune Dessa
bHoXLnlXjII,Niger,Maradi,DS Guidan Roumdji,Commune Guidan Sori
Bi1Kg5VJEyJ,Niger,Tahoua,DS Birni Konni,Commune Birni N'Konni
bIInKdIVRHI,Niger,Maradi,DS Dakoro,Commune Soly
bikMPohaM6S,Niger,Dosso,DS Dosso,Commune Kargui Bangou
bIrYxfRXqgL,Niger,Niamey,DS Niamey II,Commune 2ème Arrondissement
