facility_id,admin_area_1,admin_area_2,admin_area_3,admin_area_4
ggNeo0tvIvk,Côte d'Ivoire,ABIDJAN 2,PORT-BOUET-VRIDI,FACILITY AT LEVEL 4: PORT-BOUET-VRIDI
GgRMy4zda3j,Côte d'Ivoire,BELIER,YAMOUSSOUKRO,FACILITY AT LEVEL 4: YAMOUSSOUKRO
gGVy5BTlS6g,Côte d'Ivoire,ABIDJAN 2,ADJAME-PLATEAU-ATTECOUBE,FACILITY AT LEVEL 4: ADJAME-PLATEAU-ATTECOUBE
gh0ybckORun,Côte d'Ivoire,GUEMON,BANGOLO,FACILITY AT LEVEL 4: BANGOLO
gh3WpAvKmMV,Côte d'Ivoire,ABIDJAN 1,YOPOUGON-EST,FACILITY AT LEVEL 4: YOPOUGON-EST
uGOpFqowOkm,Côte d'Ivoire,TONKPI,MAN,FACILITY AT LEVEL 4: MAN
gHAhv4Fo97q,Côte d'Ivoire,ABIDJAN 2,COCODY BINGERVILLE,FACILITY AT LEVEL 4: COCODY BINGERVILLE
ghc21GH29F0,Côte d'Ivoire,MORONOU,BONGOUANOU,FACILITY AT LEVEL 4: BONGOUANOU
GHe6aBTeb2X,Côte d'Ivoire,ABIDJAN 1,ABOBO OUEST,FACILITY AT LEVEL 4: ABOBO OUEST
GhIouEeFVtT,Côte d'Ivoire,ABIDJAN 1,YOPOUGON-OUEST SONGON,FACILITY AT LEVEL 4: YOPOUGON-OUEST SONGON
Ghk9YQfpEOW,Côte d'Ivoire,BAFING,TOUBA,FACILITY AT LEVEL 4: TOUBA
GhlGy3E9062,Côte d'Ivoire,AGNEBY-TIASSA,AGBOVILLE,FACILITY AT LEVEL 4: AGBOVILLE
GhlW9JtrxJO,Côte d'Ivoire,SAN PEDRO,SAN-PEDRO,FACILITY AT LEVEL 4: SAN-PEDRO
GHMuykRYMYS,Côte d'Ivoire,TONKPI,ZOUAN-HOUNIEN,FACILITY AT LEVEL 4: ZOUAN-HOUNIEN
GHYY5r0Tbs0,Côte d'Ivoire,ABIDJAN 1,YOPOUGON-OUEST SONGON,FACILITY AT LEVEL 4: YOPOUGON-OUEST SONGON
giBWiBiW1oF,Côte d'Ivoire,ABIDJAN 2,COCODY BINGERVILLE,FACILITY AT LEVEL 4: COCODY BINGERVILLE
gIJls1GgxI7,Côte d'Ivoire,GBOKLE,SASSANDRA,FACILITY AT LEVEL 4: SASSANDRA
gIQNDfSoTMa,Côte d'Ivoire,INDENIE-DUABLIN,ABENGOUROU,FACILITY AT LEVEL 4: ABENGOUROU
GixhLOGj4xL,Côte d'Ivoire,GUEMON,KOUIBLY,FACILITY AT LEVEL 4: KOUIBLY
GJ5FftKqk3D,Côte d'Ivoire,HAMBOL,NIAKARAMADOUGOU,FACILITY AT LEVEL 4: NIAKARAMADOUGOU
GJ73WfsHr5E,Côte d'Ivoire,CAVALLY,BLOLEQUIN,FACILITY AT LEVEL 4: BLOLEQUIN
gjCk9nZSTFV,Côte d'Ivoire,MARAHOUE,SINFRA,FACILITY AT LEVEL 4: SINFRA
gJqN4yvssis,Côte d'Ivoire,HAUT SASSANDRA,VAVOUA,FACILITY AT LEVEL 4: VAVOUA
gjRqy9UoeQM,Côte d'Ivoire,HAUT SASSANDRA,DALOA,FACILITY AT LEVEL 4: DALOA
GjWhpLlbuzG,Côte d'Ivoire,GBEKE,BOUAKE NORD-OUEST,FACILITY AT LEVEL 4: BOUAKE NORD-OUEST
gjZomZtd4HD,Côte d'Ivoire,IFFOU,DAOUKRO,FACILITY AT LEVEL 4: DAOUKRO
gK7uGTVqT4I,Côte d'Ivoire,SUD-COMOE,TIAPOUM,FACILITY AT LEVEL 4: TIAPOUM
GKbl7tNClTE,Côte d'Ivoire,PORO,M'BENGUE,FACILITY AT LEVEL 4: M'BENGUE
GKs8hLomBsy,Côte d'Ivoire,NAWA,BUYO,FACILITY AT LEVEL 4: BUYO
GKVWmTPr4mC,Côte d'Ivoire,ABIDJAN 2,KOUMASSI,FACILITY AT LEVEL 4: KOUMASSI
GKxUHWGuzYw,Côte d'Ivoire,KABADOUGOU,ODIENNE,FACILITY AT LEVEL 4: ODIENNE
glapnnHyWQY,Côte d'Ivoire,ABIDJAN 2,PORT-BOUET-VRIDI,FACILITY AT LEVEL 4: PORT-BOUET-VRIDI
GleytW6pJ57,Côte d'Ivoire,BERE,DIANRA,FACILITY AT LEVEL 4: DIANRA
GLfgZFkBeYm,Côte d'Ivoire,TCHOLOGO,KONG,FACILITY AT LEVEL 4: KONG
GLhYhUohjLc,Côte d'Ivoire,ABIDJAN 2,ADJAME-PLATEAU-ATTECOUBE,FACILITY AT LEVEL 4: ADJAME-PLATEAU-ATTECOUBE
GLk81xg74p4,Côte d'Ivoire,N'ZI,BOCANDA,FACILITY AT LEVEL 4: BOCANDA
gloKYzVT67e,Côte d'Ivoire,ABIDJAN 1,ABOBO EST,FACILITY AT LEVEL 4: ABOBO EST
