facility_id,admin_area_1,admin_area_2,admin_area_3,admin_area_4
QkJtt8OxZzQ,MOÇAMBIQUE,SOFALA,CIDADE DA BEIRA,FACILITY AT LEVEL 4: CIDADE DA BEIRA
QKqxlzbMl3g,MOÇAMBIQUE,NAMPULA,MECUBURI,FACILITY AT LEVEL 4: MECUBURI
qKVzljYYhIB,MOÇAMBIQUE,SOFALA,NHAMATANDA,FACILITY AT LEVEL 4: NHAMATANDA
qKztqGLknYh,MOÇAMBIQUE,NAMPULA,MEMBA,FACILITY AT LEVEL 4: MEMBA
QL0F9X81n1c,MOÇAMBIQUE,MAPUTO CIDADE,KAMPFUMO,FACILITY AT LEVEL 4: KAMPFUMO
QLc81Wd2IGf,MOÇAMBIQUE,NIASSA,CUAMBA,FACILITY AT LEVEL 4: CUAMBA
qLGlLqcnNlv,MOÇAMBIQUE,GAZA,CHONGOENE,FACILITY AT LEVEL 4: CHONGOENE
qlh5EG386JL,MOÇAMBIQUE,MAPUTO PROVINCIA,MATOLA,FACILITY AT LEVEL 4: MATOLA
qlKOYx7zUuj,MOÇAMBIQUE,ZAMBEZIA,LUABO,FACILITY AT LEVEL 4: LUABO
QLy3Y2SEm6L,MOÇAMBIQUE,SOFALA,GORONGOSA,FACILITY AT LEVEL 4: GORONGOSA
QMDxghiDP5r,MOÇAMBIQUE,NIASSA,DISTRITO DE LICHINGA,FACILITY AT LEVEL 4: DISTRITO DE LICHINGA
qmiomhs5J9E,MOÇAMBIQUE,ZAMBEZIA,PEBANE,FACILITY AT LEVEL 4: PEBANE
QMycutnYRSc,MOÇAMBIQUE,NAMPULA,MOSSURIL,FACILITY AT LEVEL 4: MOSSURIL
qnJKKoXwRXg,MOÇAMBIQUE,MAPUTO CIDADE,KAMPFUMO,FACILITY AT LEVEL 4: KAMPFUMO
qOGUMHGJn2J,MOÇAMBIQUE,ZAMBEZIA,NAMACURRA,FACILITY AT LEVEL 4: NAMACURRA
qOLkplFsyIR,MOÇAMBIQUE,SOFALA,DONDO,FACILITY AT LEVEL 4: DONDO
qoPsXd5S2f4,MOÇAMBIQUE,SOFALA,NHAMATANDA,FACILITY AT LEVEL 4: NHAMATANDA
qOV40TJrBXO,MOÇAMBIQUE,ZAMBEZIA,NAMARROI,FACILITY AT LEVEL 4: NAMARROI
QozMCJCISBx,MOÇAMBIQUE,NAMPULA,ERATI,FACILITY AT LEVEL 4: ERATI
qpaYqWk6dS4,MOÇAMBIQUE,TETE,CIDADE DE TETE,FACILITY AT LEVEL 4: CIDADE DE TETE
qPCXHQuPU09,MOÇAMBIQUE,MAPUTO CIDADE,KATEMBE,FACILITY AT LEVEL 4: KATEMBE
QPFpY3AO2DU,MOÇAMBIQUE,MAPUTO CIDADE,KAMPFUMO,FACILITY AT LEVEL 4: KAMPFUMO
QpP1pdtWq6b,MOÇAMBIQUE,CABO DELGADO,NANGADE,FACILITY AT LEVEL 4: NANGADE
qQ1cgtUIrs4,MOÇAMBIQUE,SOFALA,CHERINGOMA,FACILITY AT LEVEL 4: CHERINGOMA
qR3bnN8STPl,MOÇAMBIQUE,GAZA,MABALANE,FACILITY AT LEVEL 4: MABALANE
qR4WslJnFtW,MOÇAMBIQUE,SOFALA,CIDADE DA BEIRA,FACILITY AT LEVEL 4: CIDADE DA BEIRA
QR8g5iNEZkz,MOÇAMBIQUE,MANICA,MANICA,FACILITY AT LEVEL 4: MANICA
qRAEUQrFHDW,MOÇAMBIQUE,SOFALA,CHIBABAVA,FACILITY AT LEVEL 4: CHIBABAVA
QS92fFFZdot,MOÇAMBIQUE,MAPUTO PROVINCIA,MATUTUÌNE,FACILITY AT LEVEL 4: MATUTUÌNE
QsE4YRdNP0Z,MOÇAMBIQUE,MAPUTO PROVINCIA,MATOLA,FACILITY AT LEVEL 4: MATOLA
QSFwMbJcjaL,MOÇAMBIQUE,GAZA,MASSINGIR,FACILITY AT LEVEL 4: MASSINGIR
qsjl0QJsaxn,MOÇAMBIQUE,CABO DELGADO,MACOMIA,FACILITY AT LEVEL 4: MACOMIA
QsRDWOURkSy,MOÇAMBIQUE,NAMPULA,MECONTA,FACILITY AT LEVEL 4: MECONTA
qSwUNvvDd3D,MOÇAMBIQUE,SOFALA,CIDADE DA BEIRA,FACILITY AT LEVEL 4: CIDADE DA BEIRA
QTG3A4bNtVI,MOÇAMBIQUE,MANICA,SUSSUNDENGA,FACILITY AT LEVEL 4: SUSSUNDENGA
QU2rsooFfyu,MOÇAMBIQUE,CABO DELGADO,MUIDUMBE,FACILITY AT LEVEL 4: MUIDUMBE
quN1SzB2tpl,MOÇAMBIQUE,MAPUTO CIDADE,KAMPFUMO,FACILITY AT LEVEL 4: KAMPFUMO
