"id","name","level","code","admin_area_1","admin_area_2","admin_area_3"
"aeTzP0ST2hq","Kirkos Sub City",3,"1056365",NA,"Addis Ababa City Administration ","Kirkos Sub City"
"R6nsx1xB8wq","Kolfe Subcity",3,"1056364",NA,"Addis Ababa City Administration ","Kolfe Subcity"
"y8SN9S3PRMR","Konso Zone ",3,"1057063",NA,"South Ethiopia Region ","Konso Zone "
"zmsFgTAIHhp","Konta Zone ",3,"1085462",NA,NA,"Konta Zone "
"EsL3oY0kB99","Koore zone",3,"1084737",NA,"South Ethiopia Region ","Koore zone"
"N4fJZ3I3lcl","Korahay Zone",3,"1056332",NA,"Somali Region","Korahay Zone"
"j59J2d3Ym3C","Lemi Kura Sub City",3,"1079145",NA,"Addis Ababa City Administration ","Lemi Kura Sub City"
"rXEEpmCHza5","Liben Zone",3,"1056262",NA,"Somali Region","Liben Zone"
"veWjz5L6CYU","Lideta Sub City",3,"1056335",NA,"Addis Ababa City Administration ","Lideta Sub City"
"qGAyxCqSA7I","Logia Primary Hospital",3,"1043940",NA,"Afar Region","Logia Primary Hospital"
"t2ZTjY33nql","Majang Zone",3,"1056280",NA,"Gambella Region","Majang Zone"
"OUK781pCgYt","Mao Komo Zone",3,"1063879",NA,"Benishangul Gumuz Regional Health Bureau","Mao Komo Zone"
"KIbqbcLzWTV","Mareko Special ",3,"1056393",NA,NA,"Mareko Special "
"cmTDCVHTLyt","Maya Town",3,"1083866",NA,"Oromia Region","Maya Town"
"TgD3ZbJrhxD","Metekel Zone",3,"1056298",NA,"Benishangul Gumuz Regional Health Bureau","Metekel Zone"
"gcq8d9uMWcP","Modjo Town Health Office",3,"1056276",NA,"Oromia Region","Modjo Town Health Office"
"vg3Tn9x2w6p","Mohammed Akle Memorial General Hospital",3,"1053413",NA,"Afar Region","Mohammed Akle Memorial General Hospital"
"smjdej6f9a2","Nifas Silk Lafto Sub City",3,"1056318",NA,"Addis Ababa City Administration ","Nifas Silk Lafto Sub City"
"JlI1V06Lk2C","Nogob Zone",3,"1056259",NA,"Somali Region","Nogob Zone"
"adZbejN0bEA","Northern Sidama Zone",3,"1084795",NA,"Sidama Region","Northern Sidama Zone"
"QCZEHRJBSLH","North Western Zone",3,"1056325",NA,"Tigray Region","North Western Zone"
"x9l5eYnBnxl","North Wollo Zone",3,"1069298",NA,"Amhara Region ","North Wollo Zone"
"hIEMxUvPicb","Nuer Zone",3,"1056301",NA,"Gambella Region","Nuer Zone"
"XU2wpLlX4Vk","Oromia Region",2,"1056258",NA,"Oromia Region",NA
"jtgQD6rjfw5","Oromia Special Zone",3,"1069297",NA,"Amhara Region ","Oromia Special Zone"
"y2eM9nZ9pZK","Pawlos Primary Hospital",3,"1010134",NA,"Afar Region","Pawlos Primary Hospital"
"zd85WxRf7jf","Ras Desta Damitew General Hospital",3,"1062822",NA,"Addis Ababa City Administration ","Ras Desta Damitew General Hospital"
"KBfiDXWjETn","Sabiyan General Hospital",3,"1501070012",NA,"Dire Dawa City Administration","Sabiyan General Hospital"
"YHUcJ6jcPVh","Shebelle Zone",3,"1056337",NA,"Somali Region","Shebelle Zone"
"yBJAyhlL7wY","Sheka Zone",3,"1056284",NA,NA,"Sheka Zone"
"wU7mJuDLHf7","Sheno Town ",3,"1083871",NA,"Oromia Region","Sheno Town "
"xNUoZIrGKxQ","Sidama Region",2,"1063606",NA,"Sidama Region",NA
"OK5ityZ56Xe","Sitti Zone",3,"1056295",NA,"Somali Region","Sitti Zone"
"PCKGSJoNHXi","Somali Region",2,"1056250",NA,"Somali Region",NA
"KpUJNTcKG9t","South Eastern Zone",3,"1056279",NA,"Tigray Region","South Eastern Zone"
"Oyv7rUEVODO","Southern Sidama Zone",3,"1084796",NA,"Sidama Region","Southern Sidama Zone"
"OW1VTIu7eWB","Southern Zone",3,"1056304",NA,"Tigray Region","Southern Zone"
"a2QIIR2UXcd","South Ethiopia Region ",2,"1084722",NA,"South Ethiopia Region ",NA
"KPmsSOvSHMJ","South Gondar Zone",3,"1069292",NA,"Amhara Region ","South Gondar Zone"
"BkxXrM55k0V","South Omo Zone ",3,"1056309",NA,"South Ethiopia Region ","South Omo Zone "
"Z6v6nzUi2QA","South Wollo Zone",3,"1069299",NA,"Amhara Region ","South Wollo Zone"
"EUZ2KUsiiLo","St Paulo's  Comprehensive Specialized Hospital",3,"1030698",NA,"Addis Ababa City Administration ","St Paulo's  Comprehensive Specialized Hospital"
"k0NDQTXTSkD","St. Peter General Hospital",3,"1000942",NA,"Addis Ababa City Administration ","St. Peter General Hospital"
"Gmw0DJLXGtx","Tigray Region",2,"1056251",NA,"Tigray Region",NA
"fqlmSS5roQA","Tikur Anbessa Comprehensive Specialized Hospital ",3,"1000943",NA,"Addis Ababa City Administration ","Tikur Anbessa Comprehensive Specialized Hospital "
"KTQ2XB5n6np","Waghimera Zone",3,"1069288",NA,"Amhara Region ","Waghimera Zone"
"u76ulmOEirX","Western Zone",3,"1056327",NA,"Tigray Region","Western Zone"
"YicU6Hpt7wu","West Gojjam Zone",3,"1069301",NA,"Amhara Region ","West Gojjam Zone"
"EoK5lX2siVg","West Hararge Zone",3,"1056313",NA,"Oromia Region","West Hararge Zone"
"AqscLOesrT1","West Omo Zone",3,"1065981",NA,NA,"West Omo Zone"
"Ir4m5D1YQsb","Wolaita Zone",3,"1056264",NA,"South Ethiopia Region ","Wolaita Zone"
"y5Wg5rqVqVw","Yeka Sub City",3,"1056340",NA,"Addis Ababa City Administration ","Yeka Sub City"
"xkT42JvQuNR","Yekatit 12 General Hospital Medical College",3,"1067835",NA,"Addis Ababa City Administration ","Yekatit 12 General Hospital Medical College"
"ELtBjhnCtvX","Zewditu Memorial General Hospital",3,"1067843",NA,"Addis Ababa City Administration ","Zewditu Memorial General Hospital"
"jsn4NYnJdnI","Zone 1 Zone",3,"1056351",NA,"Afar Region","Zone 1 Zone"
"JzECjRwaDqv","Zone 2 Zone",3,"1056333",NA,"Afar Region","Zone 2 Zone"
"QICyCxyzv1O","Zone 3 Zone",3,"1056265",NA,"Afar Region","Zone 3 Zone"
"nTRAz5zdYMC","Zone 4 Zone",3,"1056330",NA,"Afar Region","Zone 4 Zone"
"W37HJpkS8kX","Zone 5 Zone",3,"1056272",NA,"Afar Region","Zone 5 Zone"
"JkElfITil0K","Zone 6 Zone",3,"1086125",NA,"Afar Region","Zone 6 Zone"
