"admin_area_1","admin_area_2","admin_area_3"
"République Démocratique du Congo","hu Haut Uele Province","hu Pawa Zone de Santé"
"République Démocratique du Congo","hu Haut Uele Province","hu Rungu Zone de Santé"
"République Démocratique du Congo","hu Haut Uele Province","hu Wamba Zone de Santé"
"République Démocratique du Congo","hu Haut Uele Province","hu Watsa Zone de Santé"
"République Démocratique du Congo","it Ituri Province","it Adi Zone de Santé"
"République Démocratique du Congo","it Ituri Province","it Adja Zone de Santé"
"République Démocratique du Congo","it Ituri Province","it Angumu Zone de Santé"
"République Démocratique du Congo","it Ituri Province","it Ariwara Zone de Santé"
"République Démocratique du Congo","it Ituri Province","it Aru Zone de Santé"
"République Démocratique du Congo","it Ituri Province","it Aungba Zone de Santé"
"République Démocratique du Congo","it Ituri Province","it Bambu Zone de Santé"
"République Démocratique du Congo","it Ituri Province","it Biringi Zone de Santé"
"République Démocratique du Congo","it Ituri Province","it Boga Zone de Santé"
"République Démocratique du Congo","it Ituri Province","it Bunia Zone de Santé"
"République Démocratique du Congo","it Ituri Province","it Damas Zone de Santé"
"République Démocratique du Congo","it Ituri Province","it Drodro Zone de Santé"
"République Démocratique du Congo","it Ituri Province","it Fataki Zone de Santé"
"République Démocratique du Congo","it Ituri Province","it Gety Zone de Santé"
"République Démocratique du Congo","it Ituri Province","it Jiba Zone de Santé"
"République Démocratique du Congo","it Ituri Province","it Kambala Zone de Santé"
"République Démocratique du Congo","it Ituri Province","it Kilo Zone de Santé"
"République Démocratique du Congo","it Ituri Province","it Komanda Zone de Santé"
"République Démocratique du Congo","it Ituri Province","it Laybo Zone de Santé"
"République Démocratique du Congo","it Ituri Province","it Linga Zone de Santé"
"République Démocratique du Congo","it Ituri Province","it Lita Zone de Santé"
"République Démocratique du Congo","it Ituri Province","it Logo Zone de Santé"
"République Démocratique du Congo","it Ituri Province","it Lolwa Zone de Santé"
"République Démocratique du Congo","it Ituri Province","it Mahagi Zone de Santé"
"République Démocratique du Congo","it Ituri Province","it Mambasa Zone de Santé"
"République Démocratique du Congo","it Ituri Province","it Mandima Zone de Santé"
"République Démocratique du Congo","it Ituri Province","it Mangala Zone de Santé"
"République Démocratique du Congo","it Ituri Province","it Mongbwalu Zone de Santé"
"République Démocratique du Congo","it Ituri Province","it Nia Nia Zone de Santé"
"République Démocratique du Congo","it Ituri Province","it Nizi Zone de Santé"
"République Démocratique du Congo","it Ituri Province","it Nyankunde Zone de Santé"
"République Démocratique du Congo","it Ituri Province","it Nyarambe Zone de Santé"
"République Démocratique du Congo","it Ituri Province","it Rethy Zone de Santé"
"République Démocratique du Congo","it Ituri Province","it Rimba Zone de Santé"
"République Démocratique du Congo","it Ituri Province","it Rwampara Zone de Santé"
"République Démocratique du Congo","it Ituri Province","it Tchomia Zone de Santé"
"République Démocratique du Congo","kc Kongo Central Province","kc Boko Kivulu Zone de Santé"
"République Démocratique du Congo","kc Kongo Central Province","kc Boma Bungu Zone de Santé"
"République Démocratique du Congo","kc Kongo Central Province","kc Boma Zone de Santé"
"République Démocratique du Congo","kc Kongo Central Province","kc Gombe Matadi Zone de Santé"
"République Démocratique du Congo","kc Kongo Central Province","kc Inga Zone de Santé"
"République Démocratique du Congo","kc Kongo Central Province","kc Kangu Zone de Santé"
"République Démocratique du Congo","kc Kongo Central Province","kc Kibunzi Zone de Santé"
"République Démocratique du Congo","kc Kongo Central Province","kc Kimpangu Zone de Santé"
"République Démocratique du Congo","kc Kongo Central Province","kc Kimpese Zone de Santé"
