facility_id,admin_area_1,admin_area_2,admin_area_3,admin_area_4
W83SSOlH6fG,République centrafricaine,RS 6,Préfecture Mbomou,District Ouango-Gambo
W84r2Sigurq,République centrafricaine,RS 3,Préfecture Ouham,District Batangafo-Kabo
w8F6mm0lWgX,République centrafricaine,RS 1,Préfecture Ombella-Mpoko,District Begoua
w8MaXo2kDt5,République centrafricaine,RS 1,Préfecture Ombella-Mpoko,District Begoua
w9HxyHuhLWG,République centrafricaine,RS 1,Préfecture Ombella-Mpoko,District Begoua
wbGwlnohDYH,République centrafricaine,RS 2,Préfecture MambereKadei,District Carnot-Gadzi
wcd1OBZlUWH,République centrafricaine,RS 2,Préfecture Sangha-Mbaere,District Sangha-Mbaere
WClvZzOKjBL,République centrafricaine,RS 6,Préfecture Haut-Mbomou,District Haut-Mbomou
wCxt4rI5tPZ,République centrafricaine,RS 6,Préfecture Basse-Kotto,District Alindao-Mingala
wD479aAeynz,République centrafricaine,RS 7,Préfecture Bangui,"District Bangui 1  "
WdPCi24utvj,République centrafricaine,RS 5,Préfecture Vakaga,District Vakaga
wEDeuDGuF0S,République centrafricaine,RS 4,Préfecture Kemo,District Kemo
wegktgO5n7I,République centrafricaine,RS 1,Préfecture Lobaye,District Mbaiki
wGZRwGldo7K,République centrafricaine,RS 5,Préfecture Haute-Kotto,District Haute-Kotto
wh8PY40hx9S,République centrafricaine,RS 2,Préfecture Nana-Mambere,District Baboua-Abba
whz7Ny6UXwt,République centrafricaine,RS 3,Préfecture Ouham-Pende,District Bocaranga-Koui
WiTULyQlwhv,République centrafricaine,RS 2,Préfecture MambereKadei,District Berberati
WJsMYJ57S5A,République centrafricaine,RS 5,Préfecture Haute-Kotto,District Haute-Kotto
wkR5mPkEApD,République centrafricaine,RS 1,Préfecture Lobaye,District Mbaiki
WM9luXLzJ3H,République centrafricaine,RS 4,Préfecture Ouaka,District Bambari
Wmb3hYGswNc,République centrafricaine,RS 4,Préfecture Ouaka,District Bambari
WNJtF5ZCBSP,République centrafricaine,RS 3,Préfecture Ouham-Pende,District Paoua
woiHgzDzSda,République centrafricaine,RS 3,Préfecture Ouham-Pende,District Bocaranga-Koui
wojIEnhJGd0,République centrafricaine,RS 3,Préfecture Ouham-Pende,District Bocaranga-Koui
WoxNQlY3UW3,République centrafricaine,RS 4,Préfecture Kemo,District Kemo
WpdW9eALB7d,République centrafricaine,RS 2,Préfecture Sangha-Mbaere,District Sangha-Mbaere
WpiqeEy6Kqm,République centrafricaine,RS 4,Préfecture Kemo,District Kemo
wPnDH1ZppB9,République centrafricaine,RS 5,Préfecture Bamingui-Bangoran,District Bamingui-Bangoran
wqGi9QtHG9p,République centrafricaine,RS 2,Préfecture Nana-Mambere,District Baboua-Abba
WRGbXUfPCqA,République centrafricaine,RS 1,Préfecture Ombella-Mpoko,District Bimbo
wruwSa9PxqT,République centrafricaine,RS 1,Préfecture Ombella-Mpoko,District Begoua
Wu5kDtSkTKH,République centrafricaine,RS 7,Préfecture Bangui,"District Bangui 1  "
wu8UHWrJPb4,République centrafricaine,RS 4,Préfecture Kemo,District Kemo
wvyjEvR6mOB,République centrafricaine,RS 7,Préfecture Bangui,District Bangui 3
