"admin_area_1","admin_area_2","admin_area_3"
"Ministere de la Sante Publique","Region Littoral","District Ngambe"
"Ministere de la Sante Publique","Region Littoral","District Njombe Penja"
"Ministere de la Sante Publique","Region Littoral","District Nkondjock"
"Ministere de la Sante Publique","Region Littoral","District Nkongsamba"
"Ministere de la Sante Publique","Region Littoral","District Nylon"
"Ministere de la Sante Publique","Region Littoral","District Pouma"
"Ministere de la Sante Publique","Region Littoral","District Yabassi"
"Ministere de la Sante Publique","Region Nord","District Bibemi"
"Ministere de la Sante Publique","Region Nord","District Figuil"
"Ministere de la Sante Publique","Region Nord","District Garoua 1"
"Ministere de la Sante Publique","Region Nord","District Garoua 2"
"Ministere de la Sante Publique","Region Nord","District Gaschiga"
"Ministere de la Sante Publique","Region Nord","District Golombe"
"Ministere de la Sante Publique","Region Nord","District Guider"
"Ministere de la Sante Publique","Region Nord","District Lagdo"
"Ministere de la Sante Publique","Region Nord","District Mayo Oulo"
"Ministere de la Sante Publique","Region Nord","District Ngong"
"Ministere de la Sante Publique","Region Nord","District Pitoa"
"Ministere de la Sante Publique","Region Nord","District Poli"
"Ministere de la Sante Publique","Region Nord","District Rey Bouba"
"Ministere de la Sante Publique","Region Nord","District Tchollire"
"Ministere de la Sante Publique","Region Nord","District Touboro"
"Ministere de la Sante Publique","Region Nord-Ouest","District Ako"
"Ministere de la Sante Publique","Region Nord-Ouest","District Bafut"
"Ministere de la Sante Publique","Region Nord-Ouest","District Bali"
"Ministere de la Sante Publique","Region Nord-Ouest","District Bamenda"
"Ministere de la Sante Publique","Region Nord-Ouest","District Bamenda 3"
"Ministere de la Sante Publique","Region Nord-Ouest","District Batibo"
"Ministere de la Sante Publique","Region Nord-Ouest","District Benakuma"
"Ministere de la Sante Publique","Region Nord-Ouest","District Fundong"
"Ministere de la Sante Publique","Region Nord-Ouest","District Kumbo East"
"Ministere de la Sante Publique","Region Nord-Ouest","District Kumbo West"
"Ministere de la Sante Publique","Region Nord-Ouest","District Mbengwi"
"Ministere de la Sante Publique","Region Nord-Ouest","District Ndop"
"Ministere de la Sante Publique","Region Nord-Ouest","District Ndu"
"Ministere de la Sante Publique","Region Nord-Ouest","District Njikwa"
"Ministere de la Sante Publique","Region Nord-Ouest","District Nkambe"
"Ministere de la Sante Publique","Region Nord-Ouest","District Nwa"
"Ministere de la Sante Publique","Region Nord-Ouest","District Oku"
"Ministere de la Sante Publique","Region Nord-Ouest","District Santa"
"Ministere de la Sante Publique","Region Nord-Ouest","District Tubah"
"Ministere de la Sante Publique","Region Nord-Ouest","District Wum"
"Ministere de la Sante Publique","Region Ouest","District Bafang"
"Ministere de la Sante Publique","Region Ouest","District Baham"
"Ministere de la Sante Publique","Region Ouest","District Bamendjou"
"Ministere de la Sante Publique","Region Ouest","District Bandja"
"Ministere de la Sante Publique","Region Ouest","District Bandjoun"
"Ministere de la Sante Publique","Region Ouest","District Bangangte"
"Ministere de la Sante Publique","Region Ouest","District Bangourain"
"Ministere de la Sante Publique","Region Ouest","District Batcham"
"Ministere de la Sante Publique","Region Ouest","District Dschang"
"Ministere de la Sante Publique","Region Ouest","District Foumban"
"Ministere de la Sante Publique","Region Ouest","District Foumbot"
"Ministere de la Sante Publique","Region Ouest","District Galim"
"Ministere de la Sante Publique","Region Ouest","District Kekem"
"Ministere de la Sante Publique","Region Ouest","District Kouoptamo"
"Ministere de la Sante Publique","Region Ouest","District Malantouen"
"Ministere de la Sante Publique","Region Ouest","District Massangam"
"Ministere de la Sante Publique","Region Ouest","District Mbouda"
"Ministere de la Sante Publique","Region Ouest","District Mifi"
"Ministere de la Sante Publique","Region Ouest","District Penka Michel"
"Ministere de la Sante Publique","Region Ouest","District Santchou"
"Ministere de la Sante Publique","Region Sud","District Ambam"
"Ministere de la Sante Publique","Region Sud","District Djoum"
"Ministere de la Sante Publique","Region Sud","District Ebolowa"
"Ministere de la Sante Publique","Region Sud","District Kribi"
"Ministere de la Sante Publique","Region Sud","District Kye ossi"
"Ministere de la Sante Publique","Region Sud","District Lolodorf"
"Ministere de la Sante Publique","Region Sud","District Meyomessala"
"Ministere de la Sante Publique","Region Sud","District Mvangan"
"Ministere de la Sante Publique","Region Sud","District Niete"
"Ministere de la Sante Publique","Region Sud","District Olamze"
"Ministere de la Sante Publique","Region Sud","District Sangmelima"
"Ministere de la Sante Publique","Region Sud","District Zoetele"
"Ministere de la Sante Publique","Region Sud-Ouest","District Akwaya"
"Ministere de la Sante Publique","Region Sud-Ouest","District Bakassi"
"Ministere de la Sante Publique","Region Sud-Ouest","District Bangem"
"Ministere de la Sante Publique","Region Sud-Ouest","District Buea"
"Ministere de la Sante Publique","Region Sud-Ouest","District Ekondo Titi"
"Ministere de la Sante Publique","Region Sud-Ouest","District Eyumodjock"
"Ministere de la Sante Publique","Region Sud-Ouest","District Fontem"
"Ministere de la Sante Publique","Region Sud-Ouest","District Konye"
"Ministere de la Sante Publique","Region Sud-Ouest","District Kumba-North"
"Ministere de la Sante Publique","Region Sud-Ouest","District Kumba-South"
"Ministere de la Sante Publique","Region Sud-Ouest","District Limbe"
"Ministere de la Sante Publique","Region Sud-Ouest","District Mamfe"
"Ministere de la Sante Publique","Region Sud-Ouest","District Mbonge"
"Ministere de la Sante Publique","Region Sud-Ouest","District Mundemba"
"Ministere de la Sante Publique","Region Sud-Ouest","District Muyuka"
"Ministere de la Sante Publique","Region Sud-Ouest","District Nguti"
"Ministere de la Sante Publique","Region Sud-Ouest","District Tiko"
"Ministere de la Sante Publique","Region Sud-Ouest","District Tombel"
"Ministere de la Sante Publique","Region Sud-Ouest","District Wabane"
