micsanc1,sourceanc1,micsanc4,sourceanc4,micsbcg,sourcebcg,micsdelivery,sourcedelivery,micsfp,sourcefp,micsimr,sourceimr,micsnmr,sourcenmr,micspenta1,sourcepenta1,micspenta3,sourcepenta3,micspnc1,sourcepnc1,micsstill,sourcestill,year,x,country,source_file,anc1volume,anc4volume,deliveryvolume,opdvolume,pnc1volume,fp_oralvolume,anc1mics,anc4mics,bcgmics,deliverymics,fpmics,penta3mics,anc1dhs,anc4dhs,bcgdhs,deliverydhs,fpdhs,penta3dhs,dhis_livebirth,anc4hmis,deliveryhmis,wppCBR,wppIMR,wppModernUsers,wppU5MR,wpplivebirth,wppmCPR,wpptotpop,wpptotu1pop,wpptotu5pop,wppwomenrepage,iso3,IndicatorId,IndicatorName,IndicatorShortName,Source,SourceYear,Author,LocationId,Location,Iso2,Iso3,TimeId,Time,VariantId,Variant,SexId,Sex,AgeId,AgeStart,AgeEnd,Age,CategoryId,Category,EstimateTypeId,EstimateType,EstimateMethodId,EstimateMethod,Value,indicatortype,source,province,coverage,denominator_source,datasource,change,years,group,lastsource
,,,,38.0,WUENIC,,,,,,,45.5323905182664,UN_IGME,59.0,WUENIC,40.0,WUENIC,,,,,2007.0,,Somalia,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,36.0,WUENIC,,,,,,,44.9512708718601,UN_IGME,40.0,WUENIC,31.0,WUENIC,,,,,2008.0,,Somalia,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,29.0,WUENIC,,,,,,,44.2609677135536,UN_IGME,52.0,WUENIC,42.0,WUENIC,,,,,2009.0,,Somalia,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,41.0,WUENIC,,,,,,,43.6388648670509,UN_IGME,55.0,WUENIC,45.0,WUENIC,,,,,2010.0,,Somalia,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,39.0,WUENIC,,,,,,,42.8612313002966,UN_IGME,52.0,WUENIC,41.0,WUENIC,,,,,2011.0,,Somalia,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,37.0,WUENIC,,,,,,,42.3697623245837,UN_IGME,52.0,WUENIC,42.0,WUENIC,,,,,2012.0,,Somalia,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,37.0,WUENIC,,,,,,,41.6239949793963,UN_IGME,52.0,WUENIC,42.0,WUENIC,,,,,2013.0,,Somalia,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,37.0,WUENIC,,,,,,,40.7645302544551,UN_IGME,52.0,WUENIC,42.0,WUENIC,,,,,2014.0,,Somalia,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,37.0,WUENIC,,,,,,,39.9522633329485,UN_IGME,52.0,WUENIC,42.0,WUENIC,,,,,2015.0,,Somalia,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,37.0,WUENIC,,,,,,,39.3398068939767,UN_IGME,52.0,WUENIC,42.0,WUENIC,,,,,2016.0,,Somalia,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,37.0,WUENIC,,,,,,,38.7148980466764,UN_IGME,52.0,WUENIC,42.0,WUENIC,,,,,2017.0,,Somalia,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,37.0,WUENIC,,,,,,,38.116920059904,UN_IGME,52.0,WUENIC,42.0,WUENIC,,,,,2018.0,,Somalia,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.1,Directorate of National Statistics; Federal Government of Somalia. The Somali Health and Demographic Survey 2020.,24.4,Directorate of National Statistics; Federal Government of Somalia. The Somali Health and Demographic Survey 2020.,37.0,WUENIC,20.7,Directorate of National Statistics; Federal Government of Somalia. The Somali Health and Demographic Survey 2020.,,,,,37.4453881763558,UN_IGME,52.0,WUENIC,42.0,WUENIC,10.5,Directorate of National Statistics; Federal Government of Somalia. The Somali Health and Demographic Survey 2020.,,,2019.0,,Somalia,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,37.0,WUENIC,,,,,,,36.785355132987,UN_IGME,52.0,WUENIC,42.0,WUENIC,,,,,2020.0,,Somalia,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,37.0,WUENIC,,,,,,,,,52.0,WUENIC,42.0,WUENIC,,,,,2021.0,,Somalia,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,2017.0,,Somalia,MICS_surveys,0.0,0.0,0.0,3174358.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,2018.0,,Somalia,MICS_surveys,580684.0,134510.0,172121.0,4557237.0,143350.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,2019.0,,Somalia,MICS_surveys,576883.0,149771.0,181569.0,4807181.0,160626.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,2020.0,,Somalia,MICS_surveys,590036.0,173216.0,198007.0,5185150.0,179427.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,2021.0,,Somalia,MICS_surveys,608913.0,191714.0,210588.0,5305491.0,196769.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,2022.0,,Somalia,MICS_surveys,50540.0,16481.0,16968.0,1172614.0,16291.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1980.0,,Somalia,UNWPP_WPP,,,,,,,,,,,,,,,,,,,,,,47.314,119.84591,61.0,201.55379,277302.0,0.0,5892224.0,252228.0,1077453.5,1330241.0,SOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1981.0,,Somalia,UNWPP_WPP,,,,,,,,,,,,,,,,,,,,,,47.738,118.99769,74.0,199.94205,291329.0,0.0,5934938.0,256133.0,1097231.0,1338501.0,SOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1982.0,,Somalia,UNWPP_WPP,,,,,,,,,,,,,,,,,,,,,,48.024,118.18069,85.0,198.39139,285754.0,0.0,5951805.0,258916.0,1112081.0,1340439.0,SOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1983.0,,Somalia,UNWPP_WPP,,,,,,,,,,,,,,,,,,,,,,48.255,116.57546,104.0,195.34828,296252.0,0.0,6142513.0,268765.0,1157524.5,1381066.0,SOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1984.0,,Somalia,UNWPP_WPP,,,,,,,,,,,,,,,,,,,,,,48.461,115.18754,125.0,192.71982,307257.0,0.0,6369020.0,280180.0,1208728.5,1428766.0,SOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1985.0,,Somalia,UNWPP_WPP,,,,,,,,,,,,,,,,,,,,,,48.711,114.82024,151.0,192.69223,321553.0,0.0,6630637.0,293203.0,1266585.5,1483243.0,SOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1986.0,,Somalia,UNWPP_WPP,,,,,,,,,,,,,,,,,,,,,,48.871,114.13521,183.0,191.49174,335893.0,0.0,6908579.0,306862.0,1327253.5,1540172.0,SOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1987.0,,Somalia,UNWPP_WPP,,,,,,,,,,,,,,,,,,,,,,48.999,113.13612,220.0,188.8009,351249.0,0.0,7158004.0,319017.0,1381941.5,1589347.0,SOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1988.0,,Somalia,UNWPP_WPP,,,,,,,,,,,,,,,,,,,,,,49.057,115.77873,262.0,196.7626,361541.0,0.0,7160461.0,319757.0,1388923.0,1584735.0,SOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1989.0,,Somalia,UNWPP_WPP,,,,,,,,,,,,,,,,,,,,,,49.159,110.10142,296.0,183.02266,352491.0,0.0,7035378.0,315129.0,1371465.0,1552641.0,SOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1990.0,,Somalia,UNWPP_WPP,,,,,,,,,,,,,,,,,,,,,,49.008,108.28466,343.0,179.6148,349163.0,0.0,6999096.0,313986.0,1370216.5,1539913.0,SOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1991.0,,Somalia,UNWPP_WPP,,,,,,,,,,,,,,,,,,,,,,49.4,237.35564,391.0,418.69293,346465.0,0.0,6732702.0,289806.0,1289722.0,1490899.0,SOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1992.0,,Somalia,UNWPP_WPP,,,,,,,,,,,,,,,,,,,,,,50.214,236.31493,421.0,417.29083,327368.0,0.0,6428142.0,267680.0,1175817.0,1444982.0,SOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1993.0,,Somalia,UNWPP_WPP,,,,,,,,,,,,,,,,,,,,,,50.438,104.62293,482.0,172.89249,327630.0,0.1,6620729.0,292330.0,1195136.5,1495740.0,SOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1994.0,,Somalia,UNWPP_WPP,,,,,,,,,,,,,,,,,,,,,,50.262,105.10856,592.0,174.33142,351181.0,0.1,6959829.0,320112.0,1278792.5,1567567.0,SOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1995.0,,Somalia,UNWPP_WPP,,,,,,,,,,,,,,,,,,,,,,50.145,104.47749,695.0,172.58707,360026.0,0.1,7210930.0,331198.0,1360047.0,1619715.0,SOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
